YearBP, YearCE, ndays, before_leap, veq_day, veq_day2, perihelion_day, aphelion_day
 -150000,  -148050,  365,    3,  80.187500,  80.500000,   179.078472,   361.699306
 -149000,  -147050,  365,    0,  79.687500,  80.750000,   193.903472,    11.282639
 -148000,  -146050,  365,    1,  80.187500,  80.000000,   210.062500,    27.440972
 -147000,  -145050,  365,    2,  79.687500,  80.250000,   225.527778,    42.906250
 -146000,  -144050,  365,    3,  80.187500,  80.500000,   242.253472,    59.631944
 -145000,  -143050,  365,    0,  79.687500,  80.750000,   258.175694,    75.554167
 -144000,  -142050,  365,    1,  80.187500,  80.000000,   275.215278,    92.593750
 -143000,  -141050,  365,    2,  79.687500,  80.250000,   291.284722,   108.663194
 -142000,  -140050,  365,    3,  80.187500,  80.500000,   308.295139,   125.673611
 -141000,  -139050,  365,    0,  79.687500,  80.750000,   324.164583,   141.543056
 -140000,  -138050,  365,    1,  80.187500,  80.000000,   340.825000,   158.203472
 -139000,  -137050,  365,    2,  79.687500,  80.250000,   356.228472,   173.606944
 -138000,  -136050,  365,    3,  80.187500,  80.500000,     7.108333,   189.729167
 -137000,  -135050,  365,    0,  79.687500,  80.750000,    21.949306,   204.570833
 -136000,  -134050,  365,    1,  80.187500,  80.000000,    37.531250,   220.152778
 -135000,  -133050,  365,    2,  79.687500,  80.250000,    51.897917,   234.519444
 -134000,  -132050,  365,    3,  80.187500,  80.500000,    67.108333,   249.729861
 -133000,  -131050,  365,    0,  79.687500,  80.750000,    81.236111,   263.856944
 -132000,  -130050,  365,    1,  80.187500,  80.000000,    96.361806,   278.983333
 -131000,  -129050,  365,    2,  79.687500,  80.250000,   110.572917,   293.194444
 -130000,  -128050,  365,    3,  80.187500,  80.500000,   125.956944,   308.577778
 -129000,  -127050,  365,    0,  79.687500,  80.750000,   140.595139,   323.216667
 -128000,  -126050,  365,    1,  80.187500,  80.000000,   156.562500,   339.183333
 -127000,  -125050,  365,    2,  79.687500,  80.250000,   171.915972,   354.536806
 -126000,  -124050,  365,    3,  80.187500,  80.500000,   188.692361,     6.070833
 -125000,  -123050,  365,    0,  79.687500,  80.750000,   204.900000,    22.279167
 -124000,  -122050,  365,    1,  80.187500,  80.000000,   222.515972,    39.895139
 -123000,  -121050,  365,    2,  79.687500,  80.250000,   239.482639,    56.861806
 -122000,  -120050,  365,    3,  80.187500,  80.500000,   257.711806,    75.090278
 -121000,  -119050,  365,    0,  79.687500,  80.750000,   275.089583,    92.468056
 -120000,  -118050,  365,    1,  80.187500,  80.000000,   293.490972,   110.870139
 -119000,  -117050,  365,    2,  79.687500,  80.250000,   310.791667,   128.170833
 -118000,  -116050,  365,    3,  80.187500,  80.500000,   328.883333,   146.261806
 -117000,  -115050,  365,    0,  79.687500,  80.750000,   345.683333,   163.061806
 -116000,  -114050,  365,    1,  80.187500,  80.000000,   363.143056,   180.521528
 -115000,  -113050,  365,    2,  79.687500,  80.250000,    14.009028,   196.629861
 -114000,  -112050,  365,    3,  80.187500,  80.500000,    30.786806,   213.408333
 -113000,  -111050,  365,    0,  79.687500,  80.750000,    46.284722,   228.905556
 -112000,  -110050,  365,    1,  80.187500,  80.000000,    62.574306,   245.195139
 -111000,  -109050,  365,    2,  79.687500,  80.250000,    77.740972,   260.362500
 -110000,  -108050,  365,    3,  80.187500,  80.500000,    93.878472,   276.500000
 -109000,  -107050,  365,    0,  79.687500,  80.750000,   109.078472,   291.700000
 -108000,  -106050,  365,    1,  80.187500,  80.000000,   125.427778,   308.048611
 -107000,  -105050,  365,    2,  79.687500,  80.250000,   140.997222,   323.618750
 -106000,  -104050,  365,    3,  80.187500,  80.500000,   157.840278,   340.461806
 -105000,  -103050,  365,    0,  79.687500,  80.750000,   173.984722,   356.606250
 -104000,  -102050,  365,    1,  80.187500,  80.000000,   191.429167,     8.807639
 -103000,  -101050,  365,    2,  79.687500,  80.250000,   208.140278,    25.519444
 -102000,  -100050,  365,    3,  80.187500,  80.500000,   226.057639,    43.436806
 -101000,   -99050,  365,    0,  79.687500,  80.750000,   243.095139,    60.474306
 -100000,   -98050,  365,    1,  80.187500,  80.000000,   261.151389,    78.530556
  -99000,   -97050,  365,    2,  79.687500,  80.250000,   278.120833,    95.500000
  -98000,   -96050,  365,    3,  80.187500,  80.500000,   295.904861,   113.283333
  -97000,   -95050,  365,    0,  79.687500,  80.750000,   312.420833,   129.800000
  -96000,   -94050,  365,    1,  80.187500,  80.000000,   329.611806,   146.990278
  -95000,   -93050,  365,    2,  79.687500,  80.250000,   345.446528,   162.825000
  -94000,   -92050,  365,    3,  80.187500,  80.500000,   361.923611,   179.302083
  -93000,   -91050,  365,    0,  79.687500,  80.750000,    11.822917,   194.444444
  -92000,   -90050,  365,    1,  80.187500,  80.000000,    27.674306,   210.295833
  -91000,   -89050,  365,    2,  79.687500,  80.250000,    42.296528,   224.917361
  -90000,   -88050,  365,    3,  80.187500,  80.500000,    57.761111,   240.381944
  -89000,   -87050,  365,    0,  79.687500,  80.750000,    72.147222,   254.768750
  -88000,   -86050,  365,    1,  80.187500,  80.000000,    87.537500,   270.158333
  -87000,   -85050,  365,    2,  79.687500,  80.250000,   102.010417,   284.631944
  -86000,   -84050,  365,    3,  80.187500,  80.500000,   117.640972,   300.262500
