YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
 -150000,    3.574053,    1.389678,    0.144261,    0.083266,    1.310302,    3.447312,   -5.949733,   -8.192146,   -9.528860,   -9.599416,   -8.395020,   -6.190411
 -149000,    4.169099,    1.806764,    0.223880,   -0.247801,    0.612505,    2.519256,   -4.990894,   -7.409511,   -9.080916,   -9.561522,   -8.732103,   -6.760146
 -148000,    4.599935,    2.156230,    0.295743,   -0.575690,   -0.126898,    1.463308,   -3.798273,   -6.294068,   -8.236473,   -9.115801,   -8.705011,   -7.054821
 -147000,    4.825298,    2.408942,    0.354264,   -0.877050,   -0.858471,    0.345539,   -2.440586,   -4.902540,   -7.028916,   -8.266747,   -8.291577,   -7.035452
 -146000,    4.815832,    2.540508,    0.394373,   -1.128461,   -1.528970,   -0.757404,   -1.005194,   -3.317646,   -5.522147,   -7.049851,   -7.496970,   -6.683405
 -145000,    4.557957,    2.533892,    0.412002,   -1.308407,   -2.085400,   -1.763553,    0.407127,   -1.644120,   -3.808724,   -5.532190,   -6.356416,   -6.004330
 -144000,    4.056526,    2.381619,    0.404546,   -1.399387,   -2.479805,   -2.592506,    1.690023,   -0.001298,   -2.004146,   -3.809282,   -4.934786,   -5.029870
 -143000,    3.336000,    2.087216,    0.371198,   -1.389715,   -2.673700,   -3.172266,    2.739948,    1.485573,   -0.239192,   -1.999551,   -3.323715,   -3.817244
 -142000,    2.439825,    1.665747,    0.313166,   -1.274986,   -2.642151,   -3.446158,    3.465412,    2.695807,    1.350304,   -0.235772,   -1.635679,   -2.446234
 -141000,    1.427822,    1.143223,    0.233687,   -1.058912,   -2.376779,   -3.378707,    3.795672,    3.524045,    2.634950,    1.345586,    0.004498,   -1.013637
 -140000,    0.372152,    0.555055,    0.137876,   -0.753471,   -1.887406,   -2.959800,    3.687815,    3.889907,    3.502937,    2.615517,    1.469332,    0.373822
 -139000,   -0.648344,   -0.056564,    0.032369,   -0.378255,   -1.202028,   -2.206697,    3.131690,    3.746021,    3.870439,    3.463894,    2.639515,    1.608216
 -138000,   -1.554232,   -0.645791,   -0.075149,    0.040808,   -0.365289,   -1.163745,    2.152061,    3.083192,    3.689522,    3.809138,    3.413887,    2.589082
 -137000,   -2.271948,   -1.166733,   -0.176533,    0.473321,    0.564515,    0.100189,    0.807938,    1.932623,    2.953436,    3.605969,    3.718385,    3.231910
 -136000,   -2.739895,   -1.577108,   -0.263809,    0.886670,    1.519543,    1.496242,   -0.810776,    0.365035,    1.698792,    2.850461,    3.513028,    3.475512
 -135000,   -2.913904,   -1.841878,   -0.329845,    1.248707,    2.427892,    2.922551,   -2.590111,   -1.514356,    0.003503,    1.581346,    2.796078,    3.287717
 -134000,   -2.771028,   -1.936029,   -0.368898,    1.530079,    3.218608,    4.271104,   -4.399354,   -3.572151,   -2.017333,   -0.121243,    1.605537,    2.668716
 -133000,   -2.312011,   -1.846938,   -0.377132,    1.706788,    3.827740,    5.436762,   -6.101739,   -5.657412,   -4.220295,   -2.141561,    0.016888,    1.651843
 -132000,   -1.562028,   -1.575676,   -0.352952,    1.762054,    4.203054,    6.324721,   -7.563830,   -7.611653,   -6.442746,   -4.335177,   -1.860939,    0.302340
 -131000,   -0.569400,   -1.137348,   -0.297207,    1.687915,    4.308682,    6.858606,   -8.666554,   -9.281577,   -8.515540,   -6.539882,   -3.893428,   -1.286965
 -130000,    0.597345,   -0.560377,   -0.213195,    1.486071,    4.128258,    6.986682,   -9.314470,  -10.530631,  -10.275422,   -8.587262,   -5.929752,   -3.001783
 -129000,    1.853734,    0.115069,   -0.106518,    1.168157,    3.666930,    6.686694,   -9.443822,  -11.249833,  -11.577394,  -10.314944,   -7.813313,   -4.713977
 -128000,    3.105500,    0.839846,    0.015279,    0.755175,    2.951745,    5.968747,   -9.028805,  -11.367495,  -12.306970,  -11.579792,   -9.394032,   -6.291276
 -127000,    4.255205,    1.559127,    0.143193,    0.276319,    2.030530,    4.875860,   -8.085026,  -10.856069,  -12.389931,  -12.269332,  -10.539778,   -7.606955
 -126000,    5.209778,    2.216479,    0.267405,   -0.232979,    0.969009,    3.481995,   -6.670054,   -9.736222,  -11.799911,  -12.311942,  -11.147556,   -8.550053
 -125000,    5.887774,    2.758041,    0.377983,   -0.733398,   -0.153218,    1.888087,   -4.881267,   -8.077788,  -10.562879,  -11.684387,  -11.152803,   -9.034583
 -124000,    6.226711,    3.137114,    0.465698,   -1.184781,   -1.248562,    0.215064,   -2.849818,   -5.996502,   -8.757676,  -10.416223,  -10.536708,   -9.007928
 -123000,    6.189035,    3.318225,    0.522785,   -1.549241,   -2.227857,   -1.404501,   -0.732266,   -3.647514,   -6.512802,   -8.590448,   -9.330248,   -8.456836
 -122000,    5.766765,    3.280794,    0.543691,   -1.794505,   -3.007832,   -2.836960,    1.301223,   -1.214535,   -3.998433,   -6.339597,   -7.614490,   -7.410863
 -121000,    4.983895,    3.021742,    0.525668,   -1.896965,   -3.518492,   -3.958813,    3.080458,    1.104019,   -1.414463,   -3.837426,   -5.516653,   -5.942358
 -120000,    3.896166,    2.556782,    0.469182,   -1.844254,   -3.710005,   -4.668089,    4.450079,    3.111489,    1.025198,   -1.286162,   -3.201709,   -4.162663
 -119000,    2.587897,    1.920086,    0.378051,   -1.636983,   -3.558299,   -4.894680,    5.284284,    4.630640,    3.110945,    1.099950,   -0.859788,   -2.214377
 -118000,    1.165990,    1.162250,    0.259295,   -1.289435,   -3.068722,   -4.608512,    5.499906,    5.520821,    4.656689,    3.113344,    1.309583,   -0.260246
 -117000,   -0.249266,    0.346222,    0.122610,   -0.828847,   -2.276943,   -3.824368,    5.066470,    5.693254,    5.518899,    4.573424,    3.116224,    1.531521
 -116000,   -1.534726,   -0.457983,   -0.020405,   -0.293464,   -1.246992,   -2.602499,    4.011335,    5.121533,    5.611743,    5.344454,    4.397303,    3.002572
 -115000,   -2.576381,   -1.179872,   -0.157316,    0.270784,   -0.066093,   -1.044516,    2.419310,    3.846704,    4.917833,    5.350689,    5.034426,    4.020362
 -114000,   -3.280868,   -1.755442,   -0.276061,    0.814617,    1.163346,    0.715576,    0.425774,    1.974977,    3.491732,    4.585432,    4.966509,    4.491941
 -113000,   -3.584891,   -2.133485,   -0.366123,    1.290113,    2.333361,    2.523732,   -1.795476,   -0.331332,    1.456023,    3.112977,    4.196763,    4.373678
 -112000,   -3.461854,   -2.280817,   -0.419589,    1.655470,    3.341050,    4.220876,   -4.048957,   -2.869182,   -1.009992,    1.063114,    2.793158,    3.676197
 -111000,   -2.924533,   -2.185584,   -0.431938,    1.879143,    4.098757,    5.658622,   -6.136808,   -5.414837,   -3.687959,   -1.381631,    0.881783,    2.463380
