AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,   -4.71,   -3.55,   -0.48,   -0.28,   -3.02,   -1.40,   10.17,   25.97,   33.81,   28.16,   14.03,    1.15
 -149000,  -147050,   -5.47,   -4.52,   -0.72,    0.80,   -1.43,   -1.32,    7.97,   23.39,   32.87,   28.78,   14.82,    1.18
 -148000,  -146050,   -5.84,   -5.21,   -0.92,    1.82,    0.30,   -1.03,    5.29,   19.28,   30.22,   28.48,   15.54,    1.54
 -147000,  -145050,   -6.16,   -5.73,   -1.07,    2.68,    2.00,   -0.28,    3.04,   14.54,   25.90,   26.45,   15.21,    1.54
 -146000,  -144050,   -6.02,   -5.91,   -1.15,    3.31,    3.51,    0.67,    1.04,    9.26,   20.19,   23.24,   14.57,    1.83
 -145000,  -143050,   -5.82,   -5.89,   -1.17,    3.68,    4.56,    1.57,   -0.36,    4.34,   13.68,   18.46,   12.71,    1.70
 -144000,  -142050,   -5.15,   -5.52,   -1.13,    3.78,    5.20,    2.33,   -1.28,    0.00,    6.97,   12.85,   10.39,    1.75
 -143000,  -141050,   -4.39,   -4.94,   -1.03,    3.61,    5.24,    2.60,   -1.96,   -3.41,    0.80,    6.70,    7.13,    1.35
 -142000,  -140050,   -3.24,   -4.02,   -0.87,    3.22,    4.88,    2.58,   -2.33,   -5.78,   -4.32,    0.78,    3.63,    1.02
 -141000,  -139050,   -2.00,   -2.87,   -0.66,    2.62,    4.05,    2.05,   -2.77,   -7.32,   -8.08,   -4.34,   -0.01,    0.42
 -140000,  -138050,   -0.53,   -1.44,   -0.40,    1.85,    3.03,    1.43,   -2.90,   -7.85,  -10.27,   -8.18,   -3.25,   -0.18
 -139000,  -137050,    0.96,    0.16,   -0.10,    0.93,    1.79,    0.67,   -2.89,   -7.65,  -11.02,  -10.43,   -5.67,   -0.70
 -138000,  -136050,    2.34,    1.85,    0.24,   -0.10,    0.52,    0.19,   -2.27,   -6.41,  -10.25,  -11.08,   -7.19,   -1.17
 -137000,  -135050,    3.59,    3.51,    0.59,   -1.24,   -0.76,   -0.00,   -1.01,   -4.22,   -8.16,  -10.13,   -7.47,   -1.28
 -136000,  -134050,    4.33,    4.90,    0.93,   -2.44,   -2.06,    0.21,    1.15,   -0.84,   -4.70,   -7.80,   -6.84,   -1.37
 -135000,  -133050,    4.75,    5.92,    1.22,   -3.62,   -3.29,    0.88,    4.23,    3.72,   -0.01,   -4.23,   -5.15,   -1.07
 -134000,  -132050,    4.44,    6.29,    1.42,   -4.75,   -4.67,    1.61,    7.96,    9.35,    5.82,    0.32,   -2.86,   -0.83
 -133000,  -131050,    3.76,    6.08,    1.50,   -5.59,   -5.86,    2.56,   12.29,   15.91,   12.59,    5.62,   -0.03,   -0.40
 -132000,  -130050,    2.45,    5.12,    1.44,   -6.15,   -7.24,    2.85,   16.32,   22.84,   20.03,   11.49,    3.10,   -0.07
 -131000,  -129050,    0.89,    3.66,    1.22,   -6.14,   -8.07,    3.03,   19.97,   29.71,   27.65,   17.48,    6.26,    0.22
 -130000,  -128050,   -0.90,    1.74,    0.87,   -5.62,   -8.76,    2.03,   21.91,   35.52,   35.02,   23.58,    9.52,    0.52
 -129000,  -127050,   -2.76,   -0.34,    0.42,   -4.48,   -8.41,    1.05,   22.53,   39.74,   41.30,   29.01,   12.36,    0.62
 -128000,  -126050,   -4.41,   -2.40,   -0.06,   -2.91,   -7.42,   -0.68,   20.58,   41.25,   46.01,   33.97,   15.23,    0.92
 -127000,  -125050,   -5.96,   -4.28,   -0.53,   -1.04,   -5.33,   -1.60,   17.43,   40.01,   48.11,   37.26,   17.26,    0.95
