AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,-5.3497,-8.2015,-4.8758,7.8618,24.6616,35.1566,32.6096,19.5631,5.4297,-2.026,-2.9276,-2.8391
-149000,-147050,-5.9271,-10.346,-9.0356,2.4426,20.0417,33.4869,34.5307,23.7408,9.6928,0.8762,-1.5146,-2.4454
-148000,-146050,-6.1424,-12.0163,-12.8652,-3.2093,14.3945,30.2314,34.9122,26.9583,13.6752,3.9005,0.1239,-1.7984
-147000,-145050,-5.9575,-13.0687,-16.0812,-8.7117,8.0624,25.5273,33.6235,28.9122,17.0676,6.8388,1.8864,-0.9275
-146000,-144050,-5.3684,-13.3967,-18.4243,-13.6629,1.4718,19.645,30.664,29.3763,19.5755,9.4629,3.6436,0.1089
-145000,-143050,-4.4094,-12.9431,-19.6805,-17.6723,-4.8967,12.976,26.1775,28.2327,20.95,11.5432,5.2461,1.2248
-144000,-142050,-3.1535,-11.7085,-19.7003,-20.3913,-10.545,6.0057,20.4497,25.4938,21.0175,12.8722,6.5373,2.312
-143000,-141050,-1.7089,-9.7557,-18.4146,-21.542,-14.997,-0.7243,13.8902,21.3111,19.7041,13.2869,7.3689,3.2495
-142000,-140050,-0.2122,-7.2097,-15.8451,-20.9417,-17.837,-6.6603,7.0006,15.9679,17.0496,12.6896,7.6164,3.9148
-141000,-139050,1.1831,-4.2524,-12.1095,-18.5209,-18.743,-11.2815,0.3322,9.8578,13.2097,11.0618,7.195,4.1965
-140000,-138050,2.3199,-1.112,-7.4206,-14.3363,-17.5143,-14.1408,-5.5598,3.4509,8.4449,8.4706,6.0707,4.008
-139000,-137050,3.0534,1.9533,-2.0782,-8.5757,-14.0914,-14.9006,-10.1609,-2.7464,3.0982,5.0651,4.2665,3.2974
-138000,-136050,3.2658,4.6757,3.5469,-1.5559,-8.5691,-13.3599,-13.0372,-8.2331,-2.4343,1.0636,1.8622,2.0553
-137000,-135050,2.8793,6.8012,9.0373,6.2894,-1.2014,-9.4739,-13.8671,-12.5528,-7.7372,-3.2644,-1.011,0.3171
-136000,-134050,1.8656,8.1137,13.9598,14.4317,7.6029,-3.3665,-12.4666,-15.3268,-12.4082,-7.6212,-4.1821,-1.8381
-135000,-133050,0.2504,8.4573,17.902,22.2816,17.2956,4.6661,-8.806,-16.2797,-16.088,-11.7049,-7.4537,-4.2945
-134000,-132050,-1.8875,7.7532,20.5109,29.2319,27.2174,14.1616,-3.0201,-15.2595,-18.483,-15.2302,-10.6177,-6.9082
-133000,-131050,-4.4215,6.0103,21.528,34.7095,36.6398,24.5091,4.5899,-12.2498,-19.3846,-17.9476,-13.4698,-9.5183
-132000,-130050,-7.1876,3.3271,20.8186,38.2286,44.8204,34.9818,13.5627,-7.378,-18.6813,-19.6573,-15.8218,-11.9582
-131000,-129050,-9.9964,-0.1155,18.389,39.4415,51.0667,44.7846,23.2958,-0.9159,-16.3681,-20.2201,-17.5124,-14.0662
-130000,-128050,-12.6469,-4.0683,14.3907,38.1783,54.8028,53.1151,33.078,6.7267,-12.5517,-19.565,-18.4146,-15.6948
-129000,-127050,-14.9407,-8.2343,9.1096,34.471,55.632,59.2354,42.1372,15.0183,-7.4512,-17.6954,-18.442,-16.7179
-128000,-126050,-16.6939,-12.292,2.9424,28.5576,53.3843,62.546,49.7016,23.3351,-1.3932,-14.6926,-17.5538,-17.0371
-127000,-125050,-17.7486,-15.9203,-3.6373,20.8643,48.1445,62.6532,55.0706,31.0031,5.1997,-10.7179,-15.7592,-16.5871
-126000,-124050,-17.9823,-18.821,-10.1191,11.9694,40.2528,59.4208,57.6878,37.3529,11.8325,-6.0106,-13.1217,-15.3409
-125000,-123050,-17.3161,-20.7395,-15.9959,2.5525,30.2789,52.9959,57.2067,41.7831,17.9705,-0.8808,-9.7623,-13.3148
-124000,-122050,-15.7231,-21.4815,-20.8024,-6.6639,18.9722,43.8058,53.5391,43.8254,23.0837,4.306,-5.86,-10.5741
-123000,-121050,-13.2349,-20.9281,-24.1487,-14.9737,7.1948,32.5237,46.8773,43.2018,26.6982,9.1529,-1.6482,-7.2365
-122000,-120050,-9.9483,-19.0468,-25.7462,-21.7412,-4.1545,20.0074,37.6858,39.8661,28.4485,13.2644,2.5957,-3.4737
-121000,-119050,-6.0283,-15.9018,-25.4298,-26.4473,-14.2151,7.2211,26.6616,34.021,28.1247,16.2857,6.5685,0.4924
-120000,-118050,-1.7065,-11.6589,-23.1727,-28.7245,-22.2308,-4.8517,14.6691,26.1057,25.7046,17.9431,9.967,4.4011
-119000,-117050,2.7281,-6.5862,-19.0973,-28.3833,-27.6046,-15.2908,2.6572,16.756,21.3653,18.0806,12.5195,7.9717
-118000,-116050,6.9489,-1.0439,-13.4777,-25.4299,-29.9386,-23.3114,-8.4269,6.7417,15.4705,16.6837,14.0184,10.9299
