AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,-31.0672,-23.2707,-6.8955,13.1142,29.474,37.6738,36.3878,25.5491,7.6787,-10.9438,-24.2574,-30.7911
-149000,-147050,-32.6075,-27.4978,-12.7783,7.3107,25.392,36.2772,38.0407,29.9907,13.7076,-5.1642,-20.2921,-29.443
-148000,-146050,-32.7619,-30.6178,-18.1941,1.1385,20.201,33.3413,38.1268,33.2779,19.3395,1.0366,-15.3027,-26.7569
-147000,-145050,-31.4277,-32.3508,-22.7423,-4.9871,14.2137,28.99,36.538,35.0884,24.1371,7.25,-9.5598,-22.821
-146000,-144050,-28.601,-32.4926,-26.056,-10.6268,7.824,23.4674,33.2922,35.1887,27.6838,13.0202,-3.424,-17.8278
-145000,-143050,-24.3891,-30.9376,-27.8324,-15.3522,1.4778,17.124,28.5434,33.4683,29.6276,17.8799,2.6734,-12.0726
-144000,-142050,-19.0147,-27.6959,-27.8605,-18.7797,-4.3628,10.3914,22.5771,29.9615,29.7232,21.3942,8.2599,-5.9415
-143000,-141050,-12.8116,-22.9038,-26.0423,-20.6023,-9.2564,3.7471,15.7909,24.8555,27.8657,23.207,12.8623,0.1113
-142000,-140050,-6.2078,-16.8252,-22.4084,-20.6148,-12.8175,-2.3249,8.6615,18.4791,24.1117,23.0831,16.0522,5.5986
-141000,-139050,0.3014,-9.843,-17.1254,-18.7336,-14.7458,-7.3727,1.7049,11.2776,18.6813,20.9401,17.4919,10.0419
-140000,-138050,6.1917,-2.4395,-10.4943,-15.0085,-14.8491,-11.0103,-4.566,3.7744,11.9427,16.8642,16.9738,13.0183
-139000,-137050,10.955,4.8354,-2.939,-9.6265,-13.0592,-12.9451,-9.681,-3.4738,4.3814,11.1081,14.4482,14.2051
-138000,-136050,14.1479,11.4051,5.0161,-2.9087,-9.4401,-12.9978,-13.2465,-9.9214,-3.4427,4.0705,10.0336,13.4164
-137000,-135050,15.4372,16.716,12.7807,4.7041,-4.1899,-11.115,-14.9712,-15.0751,-10.9421,-3.7384,4.0103,10.6275
-136000,-134050,14.6369,20.289,19.7421,12.6746,2.3646,-7.3758,-14.6846,-18.5279,-17.548,-11.7413,-3.2034,5.9818
-135000,-133050,11.7317,21.7675,25.3173,20.4041,9.7823,-1.9924,-12.349,-19.9846,-22.7519,-19.3412,-11.0873,-0.2186
-134000,-132050,6.8834,20.9574,29.0068,27.2771,17.5313,4.696,-8.0657,-19.2806,-26.139,-25.9673,-19.064,-7.5389
-133000,-131050,0.4193,17.8508,30.4452,32.7125,25.023,12.2373,-2.0754,-16.3939,-27.414,-31.1145,-26.5441,-15.4482
-132000,-130050,-7.1952,12.6329,29.4419,36.2182,31.6556,20.0903,5.2481,-11.4519,-26.4194,-34.3756,-32.9706,-23.3642
-131000,-129050,-15.3958,5.6684,26.0059,37.441,36.8641,27.658,13.4119,-4.7323,-23.1481,-35.4658,-37.8553,-30.6978
-130000,-128050,-23.5661,-2.5285,20.3514,36.207,40.1734,34.3318,21.8297,3.3431,-17.7509,-34.2405,-40.8096,-36.8965
-129000,-127050,-31.0856,-11.3379,12.8829,32.5457,41.2479,39.5429,29.858,12.2246,-10.5376,-30.7082,-41.5672,-41.4799
-128000,-126050,-37.3744,-20.0858,4.1612,26.6948,39.9307,42.816,36.8446,21.2626,-1.9705,-25.0378,-40.0014,-44.0701
-127000,-125050,-41.9325,-28.0969,-5.144,19.0834,36.267,43.8207,42.1854,29.7499,7.3534,-17.5609,-36.1386,-44.4147
-126000,-124050,-44.3717,-34.7451,-14.3106,10.296,30.5084,42.4117,45.3839,36.9769,16.7335,-8.765,-30.1661,-42.4046
-125000,-123050,-44.4412,-39.496,-22.6216,1.023,23.0952,38.6532,46.1075,42.2967,25.414,0.7254,-22.4353,-38.0888
-124000,-122050,-42.0471,-41.9433,-29.4191,-7.9984,14.6194,32.8215,44.2311,45.1926,32.6452,10.1827,-13.4548,-31.683
-123000,-121050,-37.2684,-41.8362,-34.1514,-16.0443,5.7727,25.3849,39.8612,45.3407,37.7568,18.8283,-3.87,-23.5726
-122000,-120050,-30.3661,-39.1017,-36.4107,-22.4599,-2.7134,16.9633,33.3352,42.6556,40.2322,25.9004,5.5738,-14.3046
-121000,-119050,-21.7838,-33.8601,-35.9632,-26.708,-10.1295,8.2713,25.1941,37.3122,39.7742,30.7319,14.0881,-4.5631
-120000,-118050,-12.1346,-26.433,-32.7712,-28.4078,-15.8457,0.0535,16.1328,29.7379,36.3517,32.8289,20.9147,4.874
-119000,-117050,-2.1691,-17.3391,-27.0076,-27.3647,-19.3597,-6.9811,6.9331,20.574,30.215,31.9372,25.4075,13.1997
-118000,-116050,7.2792,-7.2732,-19.0604,-23.5912,-20.3357,-12.2185,-1.6103,10.6124,21.8784,28.0846,27.1131,19.6584
