AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,-44.9031,-26.366,-4.8758,10.0373,16.219,17.9118,18.6798,16.2679,5.4297,-14.7651,-37.072,-49.641
-149000,-147050,-46.6274,-30.3095,-9.0356,7.097,14.7207,17.4542,19.2548,18.4945,9.6928,-9.3348,-32.5166,-47.9455
-148000,-146050,-46.5497,-33.1078,-12.8652,3.883,12.672,16.3465,19.1079,20.045,13.6752,-3.394,-26.5627,-44.3272
-147000,-145050,-44.554,-34.5019,-16.0812,0.6103,10.1956,14.6361,18.205,20.7575,17.0676,2.6777,-19.5129,-38.8903
-146000,-144050,-40.6393,-34.3047,-18.4243,-2.4919,7.4486,12.4158,16.5661,20.5204,19.5755,8.4511,-11.7787,-31.8713
-145000,-143050,-34.9339,-32.4221,-19.6805,-5.199,4.6103,9.8173,14.2678,19.2893,20.95,13.4807,-3.8619,-23.64
-144000,-142050,-27.7029,-28.8693,-19.7003,-7.309,1.8667,7.0006,11.439,17.0973,21.0175,17.3445,3.6775,-14.6884
-143000,-141050,-19.3449,-23.7811,-18.4146,-8.6591,-0.6049,4.1396,8.2514,14.0572,19.7041,19.6877,10.265,-5.6054
-142000,-140050,-10.3765,-17.4149,-15.8451,-9.1387,-2.6494,1.4078,4.9044,10.3544,17.0496,20.2634,15.3641,2.9631
-141000,-139050,-1.4021,-10.1438,-12.1095,-8.6984,-4.1452,-1.0353,1.608,6.2318,13.2097,18.9646,18.5307,10.3665
-140000,-138050,6.928,-2.4387,-7.4206,-7.3554,-5.0113,-3.0552,-1.434,1.9687,8.4449,15.8416,19.4626,16.0083
-139000,-137050,13.9719,5.1602,-2.0782,-5.1945,-5.2114,-4.5493,-4.0382,-2.1423,3.0982,11.1032,18.0361,19.4067
-138000,-136050,19.1542,12.0834,3.5469,-2.3651,-4.7557,-5.4522,-6.0537,-5.8184,-2.4343,5.1,14.3257,20.2468
-137000,-135050,22.0245,17.7791,9.0373,0.9263,-3.6991,-5.7364,-7.3691,-8.8068,-7.7372,-1.706,8.6011,18.4181
-136000,-134050,22.3056,21.7649,13.9598,4.4278,-2.138,-5.4126,-7.9171,-10.9004,-12.4082,-8.7828,1.3054,14.032
-135000,-133050,19.9275,23.6756,17.902,7.8594,-0.2053,-4.5279,-7.677,-11.9497,-16.088,-15.5732,-6.9853,7.4152
-134000,-132050,15.039,23.3036,20.5109,10.9336,1.9384,-3.1628,-6.6743,-11.8703,-18.483,-21.5389,-15.613,-0.9185
-133000,-131050,7.9985,20.6248,21.528,13.3796,4.1141,-1.4276,-4.9804,-10.648,-19.3846,-26.2005,-23.8933,-10.3146
-132000,-130050,-0.6576,15.8055,20.8186,14.9678,6.1377,0.5437,-2.7098,-8.3412,-18.6813,-29.1695,-31.1699,-20.0355
-131000,-129050,-10.2628,9.1913,18.389,15.5329,7.834,2.6003,-0.0165,-5.081,-16.3681,-30.1736,-36.8621,-29.3226
-130000,-128050,-20.0782,1.2769,14.3907,14.9925,9.0517,4.5842,2.9131,-1.0689,-12.5517,-29.0747,-40.5046,-37.4553
-129000,-127050,-29.3533,-7.3367,9.1096,13.3583,9.6784,6.3416,5.8702,3.4306,-7.4512,-25.8819,-41.7771,-43.8029
-128000,-126050,-37.3838,-15.9937,2.9424,10.7385,9.6523,7.7356,8.6365,8.1018,-1.3932,-20.7585,-40.5267,-47.8666
-127000,-125050,-43.5609,-24.0361,-3.6373,7.3311,8.9706,8.6586,11.0016,12.5971,5.1997,-14.0224,-36.7824,-49.3114
-126000,-124050,-47.4114,-30.854,-10.1191,3.4077,7.6929,9.0445,12.7812,16.5627,11.8325,-6.1384,-30.7638,-47.9897
-125000,-123050,-48.6281,-35.9273,-15.9959,-0.7086,5.938,8.877,13.8364,19.6688,17.9705,2.3023,-22.8795,-43.9563
-124000,-122050,-47.0919,-38.861,-20.8024,-4.6704,3.8755,8.1944,14.0898,21.6437,23.0837,10.6169,-13.7158,-37.4765
