AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,   -1.88,   -1.04,   -0.07,    0.00,    0.39,   -0.01,   -2.37,   -2.03,    3.26,    7.75,    6.18,    0.89
 -149000,  -147050,   -1.86,   -1.20,   -0.09,   -0.01,    0.13,   -0.26,   -2.53,   -2.47,    2.94,    8.19,    7.05,    1.44
 -148000,  -146050,   -1.61,   -1.23,   -0.11,   -0.01,   -0.02,   -0.25,   -2.32,   -2.90,    2.02,    7.92,    7.67,    2.15
 -147000,  -145050,   -1.30,   -1.13,   -0.10,   -0.05,   -0.12,   -0.08,   -1.74,   -2.88,    1.10,    7.12,    7.70,    2.58
 -146000,  -144050,   -0.88,   -0.94,   -0.07,   -0.12,   -0.23,    0.20,   -0.79,   -2.44,    0.03,    5.64,    7.22,    2.93
 -145000,  -143050,   -0.57,   -0.70,   -0.03,   -0.25,   -0.39,    0.48,    0.34,   -1.41,   -0.51,    3.98,    6.10,    2.83
 -144000,  -142050,   -0.30,   -0.46,    0.01,   -0.41,   -0.63,    0.60,    1.44,   -0.00,   -0.62,    2.22,    4.58,    2.52
 -143000,  -141050,   -0.21,   -0.27,    0.05,   -0.56,   -0.89,    0.59,    2.32,    1.53,   -0.11,    0.89,    2.85,    1.83
 -142000,  -140050,   -0.18,   -0.16,    0.07,   -0.67,   -1.16,    0.35,    2.75,    2.85,    0.78,    0.07,    1.23,    1.08
 -141000,  -139050,   -0.18,   -0.10,    0.08,   -0.68,   -1.30,    0.08,    2.79,    3.67,    1.71,   -0.19,   -0.00,    0.36
 -140000,  -138050,   -0.08,   -0.07,    0.05,   -0.57,   -1.27,   -0.25,    2.37,    3.87,    2.44,   -0.03,   -0.73,   -0.10
 -139000,  -137050,    0.21,    0.01,    0.01,   -0.33,   -0.94,   -0.38,    1.75,    3.45,    2.63,    0.20,   -0.98,   -0.21
 -138000,  -136050,    0.73,    0.19,   -0.03,    0.04,   -0.33,   -0.33,    0.97,    2.54,    2.36,    0.41,   -0.90,   -0.03
 -137000,  -135050,    1.41,    0.50,   -0.06,    0.48,    0.56,    0.04,    0.29,    1.38,    1.63,    0.35,   -0.70,    0.37
 -136000,  -134050,    2.08,    0.95,   -0.06,    0.90,    1.64,    0.70,   -0.21,    0.22,    0.76,    0.19,   -0.51,    0.71
 -135000,  -133050,    2.59,    1.39,   -0.04,    1.26,    2.74,    1.51,   -0.49,   -0.72,    0.00,   -0.02,   -0.37,    0.93
 -134000,  -132050,    2.70,    1.78,    0.02,    1.42,    3.70,    2.45,   -0.48,   -1.28,   -0.38,    0.01,   -0.25,    0.83
 -133000,  -131050,    2.40,    1.92,    0.07,    1.43,    4.29,    3.14,   -0.40,   -1.39,   -0.17,    0.48,   -0.00,    0.55
 -132000,  -130050,    1.64,    1.79,    0.13,    1.20,    4.45,    3.62,   -0.23,   -1.14,    0.64,    1.53,    0.52,    0.09
 -131000,  -129050,    0.59,    1.34,    0.15,    0.89,    4.09,    3.48,   -0.32,   -0.65,    2.06,    3.23,    1.43,   -0.34
 -130000,  -128050,   -0.58,    0.66,    0.13,    0.50,    3.33,    2.99,   -0.63,   -0.26,    3.71,    5.44,    2.83,   -0.54
 -129000,  -127050,   -1.66,   -0.13,    0.07,    0.22,    2.35,    1.98,   -1.38,   -0.06,    5.46,    7.96,    4.56,   -0.49
 -128000,  -126050,   -2.42,   -0.89,   -0.01,    0.03,    1.38,    0.95,   -2.30,   -0.51,    6.59,   10.40,    6.68,    0.06
 -127000,  -125050,   -2.83,   -1.48,   -0.10,   -0.02,    0.62,   -0.03,   -3.24,   -1.28,    7.12,   12.39,    8.68,    0.82
 -126000,  -124050,   -2.73,   -1.81,   -0.16,    0.02,    0.17,   -0.51,   -3.74,   -2.56,    6.34,   13.38,   10.56,    2.03
 -125000,  -123050,   -2.33,   -1.85,   -0.19,    0.08,   -0.01,   -0.53,   -3.54,   -3.47,    4.88,   13.20,   11.63,    3.07
 -124000,  -122050,   -1.59,   -1.62,   -0.18,    0.08,   -0.05,   -0.07,   -2.46,   -3.87,    2.56,   11.51,   11.89,    4.16
 -123000,  -121050,   -0.87,   -1.21,   -0.12,   -0.03,   -0.08,    0.57,   -0.71,   -3.05,    0.66,    8.85,   10.86,    4.58
 -122000,  -120050,   -0.17,   -0.73,   -0.04,   -0.22,   -0.27,    1.10,    1.32,   -1.24,   -0.63,    5.50,    8.82,    4.59
 -121000,  -119050,    0.20,   -0.29,    0.04,   -0.49,   -0.59,    1.39,    3.13,    1.26,   -0.54,    2.58,    5.99,    3.77
 -120000,  -118050,    0.31,   -0.00,    0.10,   -0.74,   -1.05,    1.19,    4.25,    3.73,    0.62,    0.54,    3.05,    2.58
 -119000,  -117050,    0.16,    0.12,    0.13,   -0.91,   -1.45,    0.78,    4.63,    5.51,    2.29,   -0.21,    0.67,    1.17
 -118000,  -116050,   -0.00,    0.08,    0.12,   -0.91,   -1.69,    0.12,    4.12,    6.23,    3.84,    0.09,   -0.74,    0.11
 -117000,  -115050,    0.03,    0.01,    0.06,   -0.70,   -1.57,   -0.34,    3.19,    5.85,    4.54,    0.75,   -1.13,   -0.36
 -116000,  -114050,    0.44,    0.03,   -0.01,   -0.28,   -1.04,   -0.60,    1.94,    4.58,    4.35,    1.38,   -0.81,   -0.18
 -115000,  -113050,    1.22,    0.26,   -0.08,    0.28,   -0.06,   -0.36,    0.87,    2.88,    3.30,    1.43,   -0.29,    0.48
 -114000,  -112050,    2.16,    0.74,   -0.11,    0.86,    1.22,    0.33,    0.09,    1.17,    1.90,    1.07,    0.09,    1.15
 -113000,  -111050,    2.95,    1.31,   -0.09,    1.35,    2.59,    1.37,   -0.21,   -0.15,    0.56,    0.45,    0.17,    1.59
 -112000,  -110050,    3.25,    1.86,   -0.02,    1.58,    3.80,    2.60,   -0.04,   -0.84,   -0.23,    0.03,    0.03,    1.49
 -111000,  -109050,    2.98,    2.12,    0.06,    1.57,    4.53,    3.56,    0.34,   -0.86,   -0.20,    0.15,   -0.04,    1.04
 -110000,  -108050,    2.09,    2.03,    0.15,    1.26,    4.65,    4.19,    0.79,   -0.35,    0.67,    1.04,    0.20,    0.32
 -109000,  -107050,    0.85,    1.52,    0.17,    0.86,    4.15,    4.02,    0.87,    0.42,    2.30,    2.77,    0.97,   -0.33
 -108000,  -106050,   -0.49,    0.75,    0.15,    0.41,    3.19,    3.32,    0.50,    0.98,    4.21,    5.16,    2.38,   -0.65
 -107000,  -105050,   -1.64,   -0.13,    0.08,    0.12,    2.08,    2.06,   -0.47,    1.11,    6.08,    7.88,    4.24,   -0.60
 -106000,  -104050,   -2.39,   -0.93,   -0.02,   -0.03,    1.09,    0.84,   -1.71,    0.40,    7.15,   10.43,    6.52,    0.06
 -105000,  -103050,   -2.72,   -1.50,   -0.11,   -0.03,    0.42,   -0.18,   -2.90,   -0.76,    7.38,   12.36,    8.63,    0.95
 -104000,  -102050,   -2.52,   -1.77,   -0.17,    0.04,    0.08,   -0.58,   -3.51,   -2.35,    6.20,   13.11,   10.48,    2.22
 -103000,  -101050,   -2.09,   -1.75,   -0.19,    0.09,   -0.02,   -0.47,   -3.26,   -3.38,    4.42,   12.58,   11.37,    3.24
 -102000,  -100050,   -1.39,   -1.50,   -0.16,    0.06,   -0.05,    0.03,   -2.10,   -3.69,    2.01,   10.61,   11.37,    4.17
 -101000,   -99050,   -0.80,   -1.12,   -0.10,   -0.08,   -0.16,    0.62,   -0.37,   -2.74,    0.27,    7.89,   10.12,    4.37
 -100000,   -98050,   -0.29,   -0.71,   -0.03,   -0.30,   -0.43,    1.00,    1.48,   -0.91,   -0.73,    4.76,    8.02,    4.17
  -99000,   -97050,   -0.08,   -0.38,    0.04,   -0.56,   -0.80,    1.13,    3.01,    1.37,   -0.47,    2.21,    5.36,    3.27
  -98000,   -96050,   -0.03,   -0.17,    0.09,   -0.77,   -1.23,    0.86,    3.86,    3.47,    0.59,    0.48,    2.76,    2.18
  -97000,   -95050,   -0.12,   -0.07,    0.11,   -0.88,   -1.54,    0.48,    4.09,    4.87,    1.92,   -0.22,    0.67,    0.99
  -96000,   -94050,   -0.14,   -0.07,    0.09,   -0.84,   -1.67,   -0.06,    3.61,    5.37,    3.06,   -0.16,   -0.63,    0.14
  -95000,   -93050,    0.02,   -0.04,    0.05,   -0.63,   -1.47,   -0.37,    2.83,    4.99,    3.50,    0.14,   -1.19,   -0.27
  -94000,   -92050,    0.45,    0.07,   -0.00,   -0.26,   -0.94,   -0.51,    1.80,    3.94,    3.32,    0.49,   -1.19,   -0.25
  -93000,   -91050,    1.09,    0.31,   -0.05,    0.19,   -0.10,   -0.28,    0.88,    2.53,    2.51,    0.50,   -0.96,    0.12
  -92000,   -90050,    1.76,    0.70,   -0.07,    0.66,    0.95,    0.23,    0.11,    1.08,    1.47,    0.35,   -0.69,    0.49
  -91000,   -89050,    2.31,    1.11,   -0.06,    1.05,    2.04,    0.95,   -0.36,   -0.16,    0.46,    0.07,   -0.50,    0.81
  -90000,   -88050,    2.52,    1.50,   -0.01,    1.27,    3.01,    1.80,   -0.54,   -1.01,   -0.22,   -0.05,   -0.36,    0.81
  -89000,   -87050,    2.35,    1.67,    0.03,    1.33,    3.66,    2.47,   -0.58,   -1.42,   -0.37,    0.17,   -0.15,    0.62
