   AgeBP,  JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , De,    "JanColor ",    "FebColor ",    "MarColor ",    "AprColor ",    "MayColor ",    "JunColor ",    "JulColor ",    "AugColor ",    "SepColor ",    "OctColor ",    "NovColor ",    "DecColor "
 -150000,    33.623263,    29.745487,    31.745348,    29.376642,    29.169285,    27.556695,    28.438464,    29.076709,    29.249863,    31.609025,    31.799766,    33.609452,    11.925947,    43.610322,    74.355739,   104.916734,   134.189698,   162.552688,   190.550267,   219.307854,   248.471140,   278.900584,   310.604980,   343.309589,    -4.885685,    28.737578,    58.483065,    90.228413,   119.605055,   148.774340,   176.331035,   204.769499,   233.846208,   263.096072,   294.705097,   326.504863,    28.737578,    58.483065,    90.228413,   119.605055,   148.774340,   176.331035,   204.769499,   233.846208,   263.096072,   294.705097,   326.504863,   360.114315,    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Pale Yellow",         "Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",  "Easter Purple"
 -149000,    33.715619,    30.009052,    32.156715,    29.786647,    29.492742,    27.693756,    28.362968,    28.799798,    28.857391,    31.181398,    31.477440,    33.466475,    11.330901,    43.193236,    74.276120,   105.247801,   134.887495,   163.480744,   191.509106,   220.090489,   248.919084,   278.938478,   310.267897,   342.739854,    -5.526909,    28.188710,    58.197762,    90.354477,   120.141124,   149.633866,   177.327622,   205.690590,   234.490388,   263.347779,   294.529177,   326.006617,    28.188710,    58.197762,    90.354477,   120.141124,   149.633866,   177.327622,   205.690590,   234.490388,   263.347779,   294.529177,   326.006617,   359.473091,         "Orange",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",         "Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Pale Yellow"
 -148000,    33.694441,    30.192969,    32.528005,    30.214860,    29.887555,    27.932034,    28.398037,    28.610373,    28.504816,    30.736529,    31.085051,    33.215329,    10.900065,    42.843770,    74.204257,   105.575690,   135.626898,   164.536692,   192.701727,   221.205932,   249.763527,   279.384199,   310.294989,   342.445179,    -5.947156,    27.747285,    57.940254,    90.468260,   120.683120,   150.570675,   178.502709,   206.900746,   235.511119,   264.015935,   294.752464,   325.837515,    27.747285,    57.940254,    90.468260,   120.683120,   150.570675,   178.502709,   206.900746,   235.511119,   264.015935,   294.752464,   325.837515,   359.052844,         "Orange",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",    "Pale Yellow",         "Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Pale Yellow"
 -147000,    33.553718,    30.278993,    32.830364,    30.632264,    30.330578,    28.261402,    28.548504,    28.527588,    28.219661,    30.304677,    30.645662,    32.866590,    10.674702,    42.591058,    74.145736,   105.877050,   136.358471,   165.654461,   194.059414,   222.597460,   250.971084,   280.233253,   310.708423,   342.464548,    -6.102157,    27.451561,    57.730554,    90.560918,   121.193182,   151.523760,   179.785162,   208.333666,   236.861254,   265.080915,   295.385592,   326.031253,    27.451561,    57.730554,    90.560918,   121.193182,   151.523760,   179.785162,   208.333666,   236.861254,   265.080915,   295.385592,   326.031253,   358.897843,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",  "Easter Purple",    "Pale Yellow",   "Light Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Pale Yellow"
 -146000,    33.295971,    30.254677,    33.037593,    31.008074,    30.792944,    28.663923,    28.810881,    28.564213,    28.026785,    29.917809,    30.187953,    32.439175,    10.684168,    42.459492,    74.105627,   106.128461,   137.028970,   166.757404,   195.494806,   224.182354,   252.477853,   281.450149,   311.503030,   342.816595,    -5.963818,    27.332154,    57.586830,    90.624424,   121.632498,   152.425442,   181.089366,   209.900247,   238.464460,   266.491245,   296.409054,   326.597007,    27.332154,    57.586830,    90.624424,   121.632498,   152.425442,   181.089366,   209.900247,   238.464460,   266.491245,   296.409054,   326.597007,   359.036182,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",  "Easter Purple",         "Purple",    "Deep Purple",    "Deep Purple",    "Deep Purple",    "Pale Yellow"
 -145000,    32.933029,    30.115100,    33.128679,    31.312140,    31.241845,    29.114461,    29.172689,    28.724817,    27.945975,    29.607093,    29.744454,    31.959718,    10.942043,    42.466108,    74.087998,   106.308407,   137.585400,   167.763553,   196.907127,   225.855880,   254.191276,   282.967810,   312.643584,   343.495670,    -5.524471,    27.408558,    57.523658,    90.652337,   121.964477,   153.206322,   182.320783,   211.493472,   240.218289,   268.164263,   297.771357,   327.515811,    27.408558,    57.523658,    90.652337,   121.964477,   153.206322,   182.320783,   211.493472,   240.218289,   268.164263,   297.771357,   327.515811,   359.475529,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",   "Light Purple",    "Deep Purple",    "Deep Purple",         "Purple",    "Deep Yellow"
 -144000,    32.485818,    29.863995,    33.090152,    31.517714,    31.643123,    29.582279,    29.612754,    29.004604,    27.989701,    29.400028,    29.348963,    31.460870,    11.443474,    42.618381,    74.095454,   106.399387,   137.979805,   168.592506,   198.190023,   227.498702,   255.995854,   284.690718,   314.065214,   344.470130,    -4.799435,    27.686383,    57.550378,    90.640531,   122.158244,   153.801367,   183.383646,   212.996400,   242.001004,   269.990704,   299.390732,   328.739695,    27.686383,    57.550378,    90.640531,   122.158244,   153.801367,   183.383646,   212.996400,   242.001004,   269.990704,   299.390732,   328.739695,   360.200565,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",    "Deep Yellow",    "Pale Yellow",         "Purple",    "Deep Purple",         "Purple",    "Pale Yellow"
 -143000,    31.983388,    29.514181,    32.917855,    31.603970,    31.964001,    30.033130,    30.102235,    29.389016,    28.161453,    29.317829,    29.033842,    30.979100,    12.164000,    42.912784,    74.128802,   106.389715,   138.173700,   169.172266,   199.239948,   228.985573,   257.760808,   286.500449,   315.676285,   345.682756,    -3.827694,    28.155694,    57.669875,    90.587730,   122.191700,   154.155701,   184.188831,   214.291065,   243.680081,   271.841534,   301.159364,   330.193206,    28.155694,    57.669875,    90.587730,   122.191700,   154.155701,   184.188831,   214.291065,   243.680081,   271.841534,   301.159364,   330.193206,   361.172306,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",    "Deep Yellow",    "Deep Yellow",  "Easter Purple",         "Purple",         "Purple",    "Pale Yellow"
 -142000,    31.461014,    29.087141,    32.618022,    31.558281,    32.176049,    30.431965,    30.606543,    29.854249,    28.454744,    29.373103,    28.827084,    30.551805,    13.060175,    43.334253,    74.186834,   106.274986,   138.142151,   169.446158,   199.965412,   230.195807,   259.350304,   288.264228,   317.364321,   347.053766,    -2.670332,    28.790683,    57.877823,    90.495846,   122.054127,   154.230176,   184.662140,   215.268683,   245.122932,   273.577676,   302.950779,   331.777863,    28.790683,    57.877823,    90.495846,   122.054127,   154.230176,   184.662140,   215.268683,   245.122932,   273.577676,   302.950779,   331.777863,   362.329668,         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",    "Deep Yellow",         "Orange",         "Orange",  "Easter Purple",   "Light Purple",    "Pale Yellow"
 -141000,    30.957509,    28.611690,    32.207382,    31.377815,    32.257920,    30.745935,    31.087996,    30.368750,    28.853059,    29.568213,    28.749611,    30.214119,    14.072178,    43.856777,    74.266313,   106.058912,   137.876779,   169.378707,   200.295672,   231.024045,   260.634950,   289.845586,   319.004498,   348.486363,    -1.406577,    29.550932,    58.162622,    90.370004,   121.747819,   154.005739,   184.751675,   215.839670,   246.208421,   275.061480,   304.629693,   333.379304,    29.550932,    58.162622,    90.370004,   121.747819,   154.005739,   184.751675,   215.839670,   246.208421,   275.061480,   304.629693,   333.379304,   363.593423,    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",   "Light Purple",   "Light Purple",  "Easter Purple",    "Deep Yellow",         "Orange",         "Orange",    "Deep Yellow",    "Pale Yellow",  "Easter Purple"
