activity,variable,time_freq,model,experiment,ensemble,grid_label,begdate,enddate,suffix,adj_name,calendar_type,begageBP,endageBP,agestep,begyrCE,nsimyrs,source_path,adjusted_path
PMIP4,tas,Amon,IPSL-CM6A-LR,lig127k,r1i1p1f1,gr,185001,194912,,_cal_adj,gregorian,-127000,-127000,1,1850,100,"/Projects/Calendar/data/nc_files/PMIP4_source/","/Projects/Calendar/data/nc_files/PMIP4_adjusted/"
PMIP4,tas,Amon,IPSL-CM6A-LR,midHolocene,r1i1p1f1,gr,185001,204912,,_cal_adj,gregorian,-6000,-6000,1,1850,200,"/Projects/Calendar/data/nc_files/PMIP4_source/","/Projects/Calendar/data/nc_files/PMIP4_adjusted/"
PMIP3,tas,Amon,CCSM4,midHolocene,r1i1p1,,100001,130012,,_cal_adj,noleap,-6000,-6000,1,1000,301,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,Aclim,CCSM4,midHolocene,r1i1p1,,100001,130012,clim,_cal_adj,365_day,-6000,-6000,1,1000,1,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,Aclim,CNRM-CM5,midHolocene,r1i1p1,,195001,214912,clim,_cal_adj,standard,-6000,-6000,1,1950,1,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,Aclim,MPI-ESM-P,midHolocene,r1i1p1,,185001,194912,clim,_cal_adj,progreg,-6000,-6000,1,1850,1,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,Amon,CNRM-CM5,midHolocene,r1i1p1,,205001,214912,,_cal_adj,gregorian,-6000,-6000,1,2050,100,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,Amon,MPI-ESM-P,midHolocene,r1i1p1,,185001,194912,,_cal_adj,progreg,-6000,-6000,1,1850,100,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,pr,Aclim,CCSM4,midHolocene,r1i1p1,,100001,130012,clim,_cal_adj,noleap,-6000,-6000,1,1000,1,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,pr,Amon,CCSM4,midHolocene,r1i1p1,,100001,130012,,_cal_adj,noleap,-6000,-6000,1,1000,301,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,pr,Amon,MPI-ESM-P,midHolocene,r1i1p1,,185001,194912,,_cal_adj,progreg,-6000,-6000,1,1850,100,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,day,CCSM4,midHolocene,r1i1p1,,10000101,10491231,,_cal_adj,noleap,-6000,-6000,1,1000,50,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,day,CNRM-CM5,midHolocene,r1i1p1,,19550101,19591231,,_cal_adj,gregorian,-6000,-6000,1,1955,5,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
PMIP3,tas,day,MPI-ESM-P,midHolocene,r1i1p1,,18500101,18591231,,_cal_adj,progreg,-6000,-6000,1,1850,10,"/Projects/Calendar/data/nc_files/PMIP3_source/","/Projects/Calendar/data/nc_files/PMIP3_adjusted/"
