   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day, ndays
       0,     1000,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      15,      46,      73,     105,     135,     166,     196,     227,     258,     288,     319,     349,       0,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,      30,      58,      89,     119,     150,     180,     211,     242,     272,     303,     333,     364, 79.812,  365
       0,     1001,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.055,  365
       0,     1002,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.297,  365
       0,     1003,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.540,  365
       0,     1004,      31,      29,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      15,      46,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       0,      31,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      30,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.783,  366
       0,     1005,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.025,  365
       0,     1006,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.267,  365
       0,     1007,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      16,      47,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       1,      32,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.510,  365
       0,     1008,      31,      29,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      15,      46,      74,     106,     136,     167,     197,     228,     259,     289,     320,     350,       0,      31,      60,      91,     121,     152,     182,     213,     244,     274,     305,     335,      30,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,     365, 80.753,  366
       0,     1009,      31,      28,      31,      30,      31,      30,      31,      31,      30,      31,      30,      31,      15,      46,      73,     105,     135,     166,     196,     227,     258,     288,     319,     349,       0,      31,      59,      90,     120,     151,     181,     212,     243,     273,     304,     334,      30,      58,      89,     119,     150,     180,     211,     242,     272,     303,     333,     364, 79.995,  365
