   AgeBP,   YearCE, JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , DecEnd      , VE_day    , ndays
   -6000,     1850,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.64517292,  42.66654723,  73.65766628, 105.27238194, 136.15116776, 166.23143139, 195.60869186, 225.06403409, 254.03631787, 283.41868279, 313.50720931, 344.45314857,  -4.60798612,  27.89833195,  57.43476250,  89.88057006, 120.66419382, 151.63814170, 180.82472109, 210.39266264, 239.73540553, 268.33723021, 298.50013538, 328.51428325,  27.89833195,  57.43476250,  89.88057006, 120.66419382, 151.63814170, 180.82472109, 210.39266264, 239.73540553, 268.33723021, 298.50013538, 328.51428325, 360.39201388,  79.937500,  365
   -6000,     1851,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.88753403,  42.90890834,  73.90002739, 105.51474305, 136.39352887, 166.47379251, 195.85105298, 225.30639520, 254.27867898, 283.66104390, 313.74957042, 344.69550968,  -4.36562500,  28.14069306,  57.67712361,  90.12293117, 120.90655493, 151.88050281, 181.06708220, 210.63502375, 239.97776664, 268.57959132, 298.74249649, 328.75664436,  28.14069306,  57.67712361,  90.12293117, 120.90655493, 151.88050281, 181.06708220, 210.63502375, 239.97776664, 268.57959132, 298.74249649, 328.75664436, 360.63437500,  80.179861,  365
   -6000,     1852,  32.49489957,  30.59062704,  32.44564904,  30.78531017,  30.97818783,  29.19197242,  29.57230628,  29.34274004,  28.59523210,  30.14868571,  29.99550975,  31.85888006,  11.08151784,  42.62428114,  74.14241918, 105.75789879, 136.63964779, 166.72472791, 196.10686726, 225.56439042, 254.53337648, 283.90533539, 313.97743312, 344.90462802,  -5.16593194,  27.32896762,  57.91959467,  90.36524370, 121.15055387, 152.12874170, 181.32071412, 210.89302040, 240.23576044, 268.83099253, 298.97967824, 328.97518799,  27.32896762,  57.91959467,  90.36524370, 121.15055387, 152.12874170, 181.32071412, 210.89302040, 240.23576044, 268.83099253, 298.97967824, 328.97518799, 360.83406806,  80.422222,  366
   -6000,     1853,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.37295070,  42.39432500,  73.38544406, 105.00015972, 135.87894554, 165.95920917, 195.33646964, 224.79181186, 253.76409565, 283.14646057, 313.23498709, 344.18092634,  -4.88020834,  27.62610973,  57.16254028,  89.60834783, 120.39197160, 151.36591948, 180.55249886, 210.12044042, 239.46318331, 268.06500799, 298.22791315, 328.24206103,  27.62610973,  57.16254028,  89.60834783, 120.39197160, 151.36591948, 180.55249886, 210.12044042, 239.46318331, 268.06500799, 298.22791315, 328.24206103, 360.11979166,  79.665278,  365
   -6000,     1854,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.61531181,  42.63668612,  73.62780517, 105.24252083, 136.12130665, 166.20157028, 195.57883075, 225.03417298, 254.00645676, 283.38882168, 313.47734820, 344.42328746,  -4.63784723,  27.86847084,  57.40490139,  89.85070895, 120.63433271, 151.60828059, 180.79485998, 210.36280153, 239.70554442, 268.30736910, 298.47027427, 328.48442214,  27.86847084,  57.40490139,  89.85070895, 120.63433271, 151.60828059, 180.79485998, 210.36280153, 239.70554442, 268.30736910, 298.47027427, 328.48442214, 360.36215277,  79.907639,  365
   -6000,     1855,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.85767292,  42.87904723,  73.87016628, 105.48488194, 136.36366776, 166.44393139, 195.82119186, 225.27653409, 254.24881787, 283.63118279, 313.71970931, 344.66564857,  -4.39548612,  28.11083195,  57.64726250,  90.09307006, 120.87669382, 151.85064170, 181.03722109, 210.60516264, 239.94790553, 268.54973021, 298.71263538, 328.72678325,  28.11083195,  57.64726250,  90.09307006, 120.87669382, 151.85064170, 181.03722109, 210.60516264, 239.94790553, 268.54973021, 298.71263538, 328.72678325, 360.60451388,  80.150000,  365
   -6000,     1856,  32.49489957,  30.59062704,  32.44564904,  30.78531017,  30.97818783,  29.19197242,  29.57230628,  29.34274004,  28.59523210,  30.14868571,  29.99550975,  31.85888006,  11.05165673,  42.59442003,  74.11255807, 105.72803767, 136.60978667, 166.69486680, 196.07700615, 225.53452931, 254.50351537, 283.87547428, 313.94757201, 344.87476691,  -5.19579306,  27.29910651,  57.88973355,  90.33538259, 121.12069276, 152.09888059, 181.29085301, 210.86315929, 240.20589933, 268.80113142, 298.94981713, 328.94532688,  27.29910651,  57.88973355,  90.33538259, 121.12069276, 152.09888059, 181.29085301, 210.86315929, 240.20589933, 268.80113142, 298.94981713, 328.94532688, 360.80420694,  80.392361,  366
   -6000,     1857,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.34239514,  42.36376945,  73.35488850, 104.96960416, 135.84838998, 165.92865362, 195.30591409, 224.76125631, 253.73354009, 283.11590502, 313.20443153, 344.15037079,  -4.91076389,  27.59555417,  57.13198473,  89.57779228, 120.36141604, 151.33536392, 180.52194331, 210.08988486, 239.43262775, 268.03445243, 298.19735760, 328.21150547,  27.59555417,  57.13198473,  89.57779228, 120.36141604, 151.33536392, 180.52194331, 210.08988486, 239.43262775, 268.03445243, 298.19735760, 328.21150547, 360.08923611,  79.634722,  365
   -6000,     1858,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.58545070,  42.60682500,  73.59794406, 105.21265972, 136.09144554, 166.17170917, 195.54896964, 225.00431186, 253.97659565, 283.35896057, 313.44748709, 344.39342634,  -4.66770834,  27.83860973,  57.37504028,  89.82084783, 120.60447160, 151.57841948, 180.76499886, 210.33294042, 239.67568331, 268.27750799, 298.44041315, 328.45456103,  27.83860973,  57.37504028,  89.82084783, 120.60447160, 151.57841948, 180.76499886, 210.33294042, 239.67568331, 268.27750799, 298.44041315, 328.45456103, 360.33229166,  79.877778,  365
   -6000,     1859,  32.50631807,  29.53643055,  32.44580755,  30.78362376,  30.97394788,  29.18657939,  29.56794155,  29.34274289,  28.60182468,  30.16290517,  30.01414787,  31.87773064,  11.82781181,  42.84918612,  73.84030517, 105.45502083, 136.33380665, 166.41407028, 195.79133075, 225.24667298, 254.21895676, 283.60132168, 313.68984820, 344.63578746,  -4.42534723,  28.08097084,  57.61740139,  90.06320895, 120.84683271, 151.82078059, 181.00735998, 210.57530153, 239.91804442, 268.51986910, 298.68277427, 328.69692214,  28.08097084,  57.61740139,  90.06320895, 120.84683271, 151.82078059, 181.00735998, 210.57530153, 239.91804442, 268.51986910, 298.68277427, 328.69692214, 360.57465277,  80.120139,  365
