   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day, ndays
 -150000,  -148050,      33,      32,      31,      29,      28,      28,      27,      28,      29,      31,      32,      32,      10,      43,      74,     106,     135,     163,     191,     218,     246,     275,     306,     338,      -5,      28,      60,      91,     120,     148,     176,     203,     231,     260,     291,     323,      27,      59,      90,     119,     147,     175,     202,     230,     259,     290,     322,     354, 80.000,  360
 -149000,  -147050,      33,      32,      31,      30,      29,      28,      27,      28,      29,      30,      31,      32,      10,      43,      74,     106,     136,     165,     193,     220,     248,     277,     307,     338,      -5,      28,      60,      91,     121,     150,     178,     205,     233,     262,     292,     323,      27,      59,      90,     120,     149,     177,     204,     232,     261,     291,     322,     354, 80.000,  360
 -148000,  -146050,      33,      32,      31,      30,      29,      28,      27,      28,      29,      30,      31,      32,      10,      43,      74,     106,     136,     165,     193,     220,     248,     277,     307,     338,      -5,      28,      60,      91,     121,     150,     178,     205,     233,     262,     292,     323,      27,      59,      90,     120,     149,     177,     204,     232,     261,     291,     322,     354, 80.000,  360
 -147000,  -145050,      32,      32,      32,      31,      29,      28,      28,      28,      28,      29,      31,      32,      11,      43,      74,     107,     138,     167,     195,     223,     251,     279,     308,     339,      -5,      27,      59,      91,     122,     151,     179,     207,     235,     263,     292,     323,      26,      58,      90,     121,     150,     178,     206,     234,     262,     291,     322,     354, 80.000,  360
 -146000,  -144050,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      31,      11,      43,      74,     107,     138,     168,     197,     225,     253,     281,     310,     340,      -5,      27,      59,      91,     122,     152,     181,     209,     237,     265,     294,     324,      26,      58,      90,     121,     151,     180,     208,     236,     264,     293,     323,     354, 80.000,  360
 -145000,  -143050,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      31,      11,      43,      74,     107,     138,     168,     197,     225,     253,     281,     310,     340,      -5,      27,      59,      91,     122,     152,     181,     209,     237,     265,     294,     324,      26,      58,      90,     121,     151,     180,     208,     236,     264,     293,     323,     354, 80.000,  360
 -144000,  -142050,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      12,      43,      74,     107,     139,     170,     200,     229,     257,     285,     313,     342,      -4,      27,      59,      91,     123,     154,     184,     213,     241,     269,     297,     326,      26,      58,      90,     122,     153,     183,     212,     240,     268,     296,     325,     355, 80.000,  360
 -143000,  -141050,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      12,      43,      74,     107,     139,     170,     200,     229,     257,     285,     313,     342,      -4,      27,      59,      91,     123,     154,     184,     213,     241,     269,     297,     326,      26,      58,      90,     122,     153,     183,     212,     240,     268,     296,     325,     355, 80.000,  360
 -142000,  -140050,      30,      31,      32,      32,      31,      30,      30,      29,      28,      28,      29,      30,      14,      44,      74,     107,     139,     170,     200,     230,     259,     287,     315,     344,      -2,      28,      59,      91,     123,     154,     184,     214,     243,     271,     299,     328,      27,      58,      90,     122,     153,     183,     213,     242,     270,     298,     327,     357, 80.000,  360
 -141000,  -139050,      30,      31,      31,      31,      31,      31,      30,      29,      29,      29,      29,      29,      14,      44,      74,     106,     137,     168,     199,     229,     258,     287,     316,     345,      -1,      29,      60,      91,     122,     153,     184,     214,     243,     272,     301,     330,      28,      59,      90,     121,     152,     183,     213,     242,     271,     300,     329,     358, 80.000,  360
