   AgeBP,   YearCE, JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , DecEnd      , VE_day    , ndays
 -150000,  -148050,  32.55043480,  31.86628971,  30.68117569,  29.34070019,  28.20402578,  27.54938648,  27.52592915,  28.13837351,  29.24717003,  30.58296418,  31.79126455,  32.52228593,  11.40437576,  43.61273802,  74.88647072, 104.89740866, 133.66977164, 161.54647777, 189.08413559, 216.91628692, 245.60905868, 275.52412579, 306.71124015, 338.86801539,  -4.87084164,  27.67959316,  59.54588287,  90.22705856, 119.56775875, 147.77178454, 175.32117101, 202.84710016, 230.98547367, 260.23264370, 290.81560787, 322.60687242,  27.67959316,  59.54588287,  90.22705856, 119.56775875, 147.77178454, 175.32117101, 202.84710016, 230.98547367, 260.23264370, 290.81560787, 322.60687242, 355.12915836,  80.000000,  360
 -149000,  -147050,  32.63326654,  32.14824933,  31.08150616,  29.74927139,  28.51357670,  27.68189967,  27.44872983,  27.87020205,  28.85499396,  30.16876635,  31.46792681,  32.38161122,  10.81411330,  43.20487123,  74.81974897, 105.23513775, 134.36656179, 162.46429998, 190.02961473, 217.68908067, 246.05167867, 275.56355882, 306.38190541, 338.30667442,  -5.50251997,  27.13074657,  59.27899590,  90.36050205, 120.10977344, 148.62335014, 176.30524981, 203.75397964, 231.62418169, 260.47917565, 290.64794200, 322.11586881,  27.13074657,  59.27899590,  90.36050205, 120.10977344, 148.62335014, 176.30524981, 203.75397964, 231.62418169, 260.47917565, 290.64794200, 322.11586881, 354.49748003,  80.000000,  360
 -148000,  -146050,  32.60585792,  32.34504630,  31.44471489,  30.17761059,  28.89328826,  27.91603234,  27.47840611,  27.68671480,  28.50282402,  29.73816397,  31.07490882,  32.13643199,  10.38888148,  42.86433359,  74.75921419, 105.57037693, 135.10582635, 163.51048665, 191.20770587, 218.79026633, 246.88503574, 276.00552973, 306.41206612, 338.01773652,  -5.91404748,  26.69181044,  59.03685674,  90.48157163, 120.65918222, 149.55247048, 177.46850282, 204.94690893, 232.63362373, 261.13644775, 290.87461171, 321.94952053,  26.69181044,  59.03685674,  90.48157163, 120.65918222, 149.55247048, 177.46850282, 204.94690893, 232.63362373, 261.13644775, 290.87461171, 321.94952053, 354.08595252,  80.000000,  360
 -147000,  -145050,  32.46285498,  32.43716055,  31.74271285,  30.59679314,  29.32099952,  28.24197820,  27.61992944,  27.60646085,  28.21816084,  29.32046378,  30.63534239,  31.79714346,  10.16960340,  42.61961116,  74.70954786, 105.87930086, 135.83819718, 164.61968604, 192.55063987, 220.16383501, 248.07614585, 276.84545816, 306.82336125, 338.03960418,  -6.06182409,  26.40103089,  58.83819143,  90.58090428, 121.17769743, 150.49869694, 178.74067515, 206.36060459, 233.96706543, 262.18522627, 291.50569005, 322.14103245,  26.40103089,  58.83819143,  90.58090428, 121.17769743, 150.49869694, 178.74067515, 206.36060459, 233.96706543, 262.18522627, 291.50569005, 322.14103245, 353.93817591,  80.000000,  360
 -146000,  -144050,  32.20719511,  32.41127376,  31.94985543,  30.97601247,  29.76893460,  28.64209307,  27.87023009,  27.64181093,  28.02583405,  28.94660439,  30.17795073,  31.38220536,  10.18522506,  42.49445950,  74.67502409, 106.13795804, 136.51043158, 165.71594541, 193.97210699, 221.72812750, 249.56194999, 278.04816922, 307.61044678, 338.39052482,  -5.91837250,  26.28882261,  58.70009638,  90.64995181, 121.62596428, 151.39489887, 180.03699195, 207.90722204, 235.54903297, 263.57486702, 292.52147141, 322.69942215,  26.28882261,  58.70009638,  90.64995181, 121.62596428, 151.39489887, 180.03699195, 207.90722204, 235.54903297, 263.57486702, 292.52147141, 322.69942215, 354.08162750,  80.000000,  360
 -145000,  -143050,  31.85081994,  32.26211429,  32.04539367,  31.28496611,  30.20539974,  29.09147781,  28.21752446,  27.79719543,  27.94559371,  28.64673005,  29.73526850,  30.91751631,  10.44887996,  42.50534708,  74.65910105, 106.32428094, 137.06946387, 166.71790264, 195.37240377, 223.37976371, 251.25115828, 279.54732016, 308.73831943, 339.06471184,  -5.47653001,  26.37428993,  58.63640422,  90.68179789, 121.96676400, 152.17216373, 181.26364154, 209.48116600, 237.27836142, 265.22395513, 293.87068518, 323.60595368,  26.37428993,  58.63640422,  90.68179789, 121.96676400, 152.17216373, 181.26364154, 209.48116600, 237.27836142, 265.22395513, 293.87068518, 323.60595368, 354.52346999,  80.000000,  360
 -144000,  -142050,  31.41442388,  31.99366680,  32.01578855,  31.49662822,  30.59727680,  29.55955547,  28.64157885,  28.06798002,  27.98986901,  28.44740589,  29.34106292,  30.43476359,  10.95526222,  42.65930757,  74.66403524, 106.42024362, 137.46719613, 167.54561227, 196.64617942, 225.00095886, 253.02988338, 281.24852083, 310.14275523, 340.03066849,  -4.75194972,  26.66247416,  58.65614097,  90.67192952, 122.16855773, 152.76583453, 182.32539000, 210.96696885, 239.03494887, 267.02481789, 295.47222377, 324.81328669,  26.66247416,  58.65614097,  90.67192952, 122.16855773, 152.76583453, 182.32539000, 210.96696885, 239.03494887, 267.02481789, 295.47222377, 324.81328669, 355.24805028,  80.000000,  360
 -143000,  -141050,  30.92647688,  31.61963076,  31.85645507,  31.58978174,  30.91266176,  30.01213477,  29.11467417,  28.44007786,  28.16210731,  28.36909827,  29.02762483,  29.96927659,  11.67949409,  42.95254791,  74.69059082, 106.41370923, 137.66493097, 168.12732924, 197.69073371, 226.46810972, 254.76920231, 283.03480510, 311.73316665, 341.23161736,  -3.78374435,  27.14273252,  58.76236329,  90.61881836, 122.20860009, 153.12126186, 183.13339663, 212.24807079, 240.68814865, 268.85025596, 297.21935423, 326.24697906,  27.14273252,  58.76236329,  90.61881836, 122.20860009, 153.12126186, 183.13339663, 212.24807079, 240.68814865, 268.85025596, 297.21935423, 326.24697906, 356.21625565,  80.000000,  360
 -142000,  -140050,  30.42134193,  31.16297499,  31.57285222,  31.55131580,  31.12373954,  30.41411212,  29.60344528,  28.89044884,  28.45578112,  28.42392051,  28.82283992,  29.55722772,  12.57778589,  43.36994436,  74.73785796, 106.29994197, 137.63746964, 168.40639547, 198.41517417, 227.66212123, 256.33523621, 284.77508703, 313.39846724, 342.58850107,  -2.63288507,  27.78845686,  58.95143185,  90.52428407, 122.07559988, 153.19933941, 183.61345153, 213.21689681, 242.10734565, 270.56312677, 298.98704728, 327.80988721,  27.78845686,  58.95143185,  90.52428407, 122.07559988, 153.19933941, 183.61345153, 213.21689681, 242.10734565, 270.56312677, 298.98704728, 327.80988721, 357.36711493,  80.000000,  360
 -141000,  -139050,  29.93665119,  30.65451234,  31.18062740,  31.37786500,  31.20945389,  30.73246683,  30.07143345,  29.38855072,  28.85434089,  28.61406511,  28.74749320,  29.23253999,  13.59007714,  43.88565890,  74.80322877, 106.08247496, 137.37613441, 168.34709476, 198.74904490, 228.47903699, 257.60048280, 286.33468580, 315.01546495, 344.00548155,  -1.37824846,  28.55840273,  59.21291507,  90.39354247, 121.77140746, 152.98086135, 183.71332818, 213.78476163, 243.17331236, 272.02765324, 300.64171835, 329.38921155,  28.55840273,  59.21291507,  90.39354247, 121.77140746, 152.98086135, 183.71332818, 213.78476163, 243.17331236, 272.02765324, 300.64171835, 329.38921155, 358.62175154,  80.000000,  360
 -140000,  -138050,  29.51035983,  30.13078315,  30.70489675,  31.07664733,  31.15764736,  30.93912965,  30.48194480,  29.89845265,  29.33201922,  28.93105338,  28.81313204,  29.02393383,  14.64410577,  44.46467726,  74.88251721, 105.77328925, 136.89043660, 167.93882510, 198.64936233, 228.83956106, 258.45479699, 287.58633330, 316.45842601, 345.37695894,  -0.11107414,  29.39928569,  59.53006883,  90.23496558, 121.31161292, 152.46926028, 183.40838993, 213.89033473, 243.78878738, 273.12080661, 302.05185999, 330.86499203,  29.39928569,  59.53006883,  90.23496558, 121.31161292, 152.46926028, 183.40838993, 213.89033473, 243.78878738, 273.12080661, 302.05185999, 330.86499203, 359.88892586,  80.000000,  360
 -139000,  -137050,  29.17749745,  29.63117076,  30.17851072,  30.66531852,  30.96650577,  31.01361807,  30.80119439,  30.38168243,  29.85563267,  29.35598564,  29.02065900,  28.95222457,  15.66107336,  45.06540747,  74.97024821, 105.39216284, 136.20807498, 167.19813690, 198.10554313, 228.69698154, 258.81563909, 288.42144824, 317.60977056, 346.59621235,   1.07232464,  30.24982209,  59.88099285,  90.05950357, 120.72482210, 151.69132787, 182.70494593, 213.50614032, 243.88782275, 273.74345542, 303.09944106, 332.12010007,  30.24982209,  59.88099285,  90.05950357, 120.72482210, 151.69132787, 182.70494593, 213.50614032, 243.88782275, 273.74345542, 303.09944106, 332.12010007, 361.07232464,  80.000000,  360
 -138000,  -136050,  28.96722068,  29.19483693,  29.63971559,  30.17097030,  30.64512479,  30.94499838,  31.00115245,  30.80022989,  30.38695991,  29.86064401,  29.35982656,  29.02832050,  16.56174234,  45.64277114,  75.06004740, 104.96539035, 135.37343789, 166.16849948, 197.14157490, 228.04226607, 258.63586097, 288.75966293, 318.36989821, 347.56397175,   2.07813199,  31.04535268,  60.24018961,  89.87990520, 120.05087550, 150.69600029, 181.64099867, 212.64215112, 243.44238101, 273.82934092, 303.68998493, 333.04981150,  31.04535268,  60.24018961,  89.87990520, 120.05087550, 150.69600029, 181.64099867, 212.64215112, 243.44238101, 273.82934092, 303.68998493, 333.04981150, 362.07813199,  80.000000,  360
 -137000,  -135050,  28.90020780,  28.85751836,  29.12924169,  29.62828463,  30.21318925,  30.73314643,  31.06205331,  31.11966555,  30.88566541,  30.40943461,  29.80964253,  29.25195043,  17.27288328,  46.15174636,  75.14512638, 104.52388954, 134.44462648, 164.91779432, 195.81539419, 226.90625362, 257.90891910, 288.55646911, 318.66600768, 348.19680417,   2.82277938,  31.72298718,  60.58050554,  89.70974723, 119.33803186, 149.55122111, 180.28436753, 211.34642085, 242.46608640, 273.35175181, 303.76118642, 333.57082895,  31.72298718,  60.58050554,  89.70974723, 119.33803186, 149.55122111, 180.28436753, 211.34642085, 242.46608640, 273.35175181, 303.76118642, 333.57082895, 362.82277938,  80.000000,  360
 -136000,  -134050,  28.98667266,  28.64854032,  28.68715333,  29.07706882,  29.69982349,  30.38918674,  30.97430011,  31.31202904,  31.31243262,  30.96193372,  30.33961778,  29.61124138,  17.73335446,  46.55096095,  75.21880778, 104.10091885, 133.48936501, 163.53387012, 194.21561354, 225.35877811, 256.67100894, 287.80819211, 318.45896786, 348.43439744,   3.24001813,  32.22669079,  60.87523111,  89.56238444, 118.63945326, 148.33927675, 178.72846349, 209.70276360, 241.01479263, 272.32722526, 303.28915897, 333.62877675,  32.22669079,  60.87523111,  89.56238444, 118.63945326, 148.33927675, 178.72846349, 209.70276360, 241.01479263, 272.32722526, 303.28915897, 333.62877675, 363.24001813,  80.000000,  360
 -135000,  -133050,  29.22526032,  28.58820098,  28.34946546,  28.55902991,  29.14136513,  29.93482177,  30.73951042,  31.35833131,  31.63229281,  31.47617212,  30.91210585,  30.08344392,  17.89952522,  46.80625587,  75.27508909, 103.72933677, 132.57953429, 162.11762774, 192.45479383, 223.50371470, 254.99902676, 286.55325923, 317.74739821, 348.24517310,   3.28689506,  32.51215538,  61.10035636,  89.44982182, 118.00885173, 147.15021685, 177.08503862, 207.82454905, 239.18288036, 270.81517317, 302.29134529, 333.20345113,  32.51215538,  61.10035636,  89.44982182, 118.00885173, 147.15021685, 177.08503862, 207.82454905, 239.18288036, 270.81517317, 302.29134529, 333.20345113, 363.28689506,  80.000000,  360
 -134000,  -132050,  29.60272991,  28.68599047,  28.14541245,  28.11484775,  28.57901404,  29.40115237,  30.37080182,  31.25023962,  31.81729180,  31.91159355,  31.48474997,  30.63617626,  17.74903628,  46.89339647,  75.30909793, 103.43922803, 131.78615892, 160.77624213, 190.66221922, 221.47273994, 253.00650565, 284.87094832, 316.56912008, 347.62958320,   2.94767133,  32.55040123,  61.23639170,  89.38180415, 117.49665190, 146.07566594, 175.47681831, 205.84762013, 237.09785975, 268.91515154, 300.82674510, 332.31149507,  32.55040123,  61.23639170,  89.38180415, 117.49665190, 146.07566594, 175.47681831, 205.84762013, 237.09785975, 268.91515154, 300.82674510, 332.31149507, 362.94767133,  80.000000,  360
 -133000,  -131050,  30.09478827,  28.93952058,  28.09479957,  27.78069535,  28.05545261,  28.82626659,  29.89195922,  30.99104578,  31.84903552,  32.23253330,  32.01396480,  31.22993841,  17.28321891,  46.80037333,  75.31753341, 103.25528086, 131.17335484, 159.61421444, 188.97332735, 219.41482985, 250.83487050, 282.87565491, 314.99890396, 346.62085556,   2.23582477,  32.33061304,  61.27013362,  89.36493319, 117.14562854, 145.20108115, 174.02734774, 203.91930696, 234.91035274, 266.75938826, 298.99192156, 331.00588636,  32.33061304,  61.27013362,  89.36493319, 117.14562854, 145.20108115, 174.02734774, 203.91930696, 234.91035274, 266.75938826, 298.99192156, 331.00588636, 362.23582477,  80.000000,  360
