   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day , SS_day , ndays,  VEtoSS    ,   SStoAE    ,   AEtoWS    ,   WStoVE
 -150000,  -148050,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      12,      44,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -5,      29,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.500, 173.000,  365,  88.72285612,  87.62585591,  93.73178803,  94.91949994
 -149000,  -147050,      34,      30,      32,      30,      30,      28,      28,      29,      29,      31,      31,      33,      12,      44,      75,     106,     136,     165,     193,     221,     250,     280,     311,     343,      -5,      29,      59,      91,     121,     151,     179,     207,     236,     265,     296,     327,      28,      58,      90,     120,     150,     178,     206,     235,     264,     295,     326,     359,  80.500, 173.000,  365,  89.69116262,  87.05500136,  92.70715883,  95.54667719
 -148000,  -146050,      34,      30,      33,      30,      30,      28,      28,      29,      28,      31,      31,      33,      11,      43,      74,     106,     136,     165,     193,     221,     250,     279,     310,     342,      -6,      28,      58,      91,     121,     151,     179,     207,     236,     264,     295,     326,      27,      57,      90,     120,     150,     178,     206,     235,     263,     294,     325,     358,  80.500, 173.000,  365,  90.82100509,  86.73848134,  91.54452128,  95.89599229
 -147000,  -145050,      34,      30,      33,      31,      30,      28,      28,      29,      28,      30,      31,      33,      11,      43,      74,     106,     137,     166,     194,     222,     251,     280,     310,     342,      -6,      28,      58,      91,     122,     152,     180,     208,     237,     265,     295,     326,      27,      57,      90,     121,     151,     179,     207,     236,     264,     294,     325,     358,  80.500, 173.000,  365,  92.04723996,  86.71166521,  90.32073544,  95.92035938
 -146000,  -144050,      33,      30,      33,      31,      31,      29,      29,      29,      28,      30,      30,      32,      10,      42,      73,     105,     136,     166,     195,     224,     253,     282,     312,     343,      -6,      27,      57,      90,     121,     152,     181,     210,     239,     267,     297,     327,      26,      56,      89,     120,     151,     180,     209,     238,     266,     296,     326,     358,  80.500, 173.000,  365,  93.28806217,  86.99439980,  89.12054913,  95.59698890
 -145000,  -143050,      33,      30,      33,      31,      31,      29,      29,      29,      28,      30,      30,      32,      11,      43,      74,     106,     137,     167,     196,     225,     254,     283,     313,     344,      -5,      28,      58,      91,     122,     153,     182,     211,     240,     268,     298,     328,      27,      57,      90,     121,     152,     181,     210,     239,     267,     297,     327,     359,  80.500, 173.000,  365,  94.44967089,  87.58801056,  88.02979278,  94.93252577
 -144000,  -142050,      32,      30,      33,      32,      32,      30,      30,      29,      28,      29,      29,      31,      12,      43,      74,     107,     139,     170,     200,     229,     258,     286,     315,     345,      -4,      28,      58,      91,     123,     155,     185,     215,     244,     272,     301,     330,      27,      57,      90,     122,     154,     184,     214,     243,     271,     300,     329,     360,  80.500, 173.000,  365,  95.43382963,  88.47285553,  87.12880197,  93.96451288
 -143000,  -141050,      32,      30,      33,      32,      32,      30,      30,      29,      28,      29,      29,      31,      13,      44,      75,     108,     140,     171,     201,     230,     259,     287,     316,     346,      -3,      29,      59,      92,     124,     156,     186,     216,     245,     273,     302,     331,      28,      58,      91,     123,     155,     185,     215,     244,     272,     301,     330,     361,  80.500, 173.000,  365,  96.14778965,  89.60671929,  86.48678251,  92.75870855
 -142000,  -140050,      31,      29,      33,      32,      32,      30,      31,      30,      28,      29,      29,      31,      13,      43,      74,     107,     139,     170,     200,     231,     260,     288,     317,     347,      -2,      29,      58,      91,     123,     155,     185,     216,     246,     274,     303,     332,      28,      57,      90,     122,     154,     184,     215,     245,     273,     302,     331,     362,  80.500, 173.000,  365,  96.51530964,  90.92452019,  86.15743354,  91.40273662
 -141000,  -139050,      31,      29,      32,      31,      32,      31,      31,      30,      29,      30,      29,      30,      14,      44,      75,     106,     138,     169,     200,     231,     260,     290,     319,     349,      -1,      30,      59,      91,     122,     154,     185,     216,     246,     275,     305,     334,      29,      58,      90,     121,     153,     184,     215,     245,     274,     304,     333,     363,  80.500, 173.000,  365,  96.48693532,  92.33995539,  86.17576323,  89.99734606
 -140000,  -138050,      31,      28,      32,      31,      32,      31,      31,      31,      29,      30,      29,      30,      15,      45,      75,     106,     138,     169,     200,     231,     261,     291,     320,     350,       0,      31,      59,      91,     122,     154,     185,     216,     247,     276,     306,     335,      30,      58,      90,     121,     153,     184,     215,     246,     275,     305,     334,     364,  80.500, 173.000,  365,  96.04755260,  93.74971002,  86.55580286,  88.64693452
 -139000,  -137050,      30,      28,      31,      31,      32,      31,      32,      31,      30,      30,      29,      30,      16,      45,      74,     105,     137,     168,     200,     231,     262,     292,     321,     351,       1,      31,      59,      90,     121,     153,     184,     216,     247,     277,     307,     336,      30,      58,      89,     120,     152,     183,     215,     246,     276,     306,     335,     365,  80.500, 173.000,  365,  95.21963174,  95.04060441,  87.28890726,  87.45085659
 -138000,  -136050,      30,      27,      31,      30,      32,      31,      32,      32,      30,      31,      29,      30,      17,      45,      74,     105,     136,     167,     199,     231,     262,     292,     322,     352,       2,      32,      59,      90,     120,     152,     183,     215,     247,     277,     308,     337,      31,      58,      89,     119,     151,     182,     214,     246,     276,     307,     336,     366,  80.500, 173.000,  365,  94.06146682,  96.09951454,  88.34251052,  86.49650812
 -137000,  -135050,      30,      27,      30,      30,      31,      31,      32,      32,      31,      31,      30,      30,      17,      45,      74,     104,     134,     165,     197,     229,     260,     291,     322,     352,       2,      32,      59,      89,     119,     150,     181,     213,     245,     276,     307,     337,      31,      58,      88,     118,     149,     180,     212,     244,     275,     306,     336,     366,  80.500, 173.000,  365,  92.66082022,  96.82516521,  89.65951906,  85.85449552
 -136000,  -134050,      30,      27,      30,      29,      31,      30,      32,      32,      31,      32,      30,      31,      18,      46,      75,     104,     134,     165,     196,     228,     259,     291,     322,     352,       3,      33,      60,      90,     119,     150,     180,     212,     244,     275,     307,     337,      32,      59,      89,     118,     149,     179,     211,     243,     274,     306,     336,     367,  80.500, 173.000,  365,  91.12534731,  97.14017568,  91.15886651,  85.57561050
 -135000,  -133050,      30,      27,      29,      29,      30,      30,      32,      32,      32,      32,      31,      31,      18,      46,      74,     103,     133,     163,     194,     226,     258,     290,     321,     352,       3,      33,      60,      89,     118,     148,     178,     210,     242,     274,     306,     337,      32,      59,      88,     117,     147,     177,     209,     241,     273,     305,     336,     367,  80.500, 173.000,  365,  89.57169951,  97.00130611,  92.73800093,  85.68899345
 -134000,  -132050,      31,      27,      29,      28,      30,      29,      31,      32,      32,      33,      31,      32,      17,      46,      74,     103,     132,     161,     191,     223,     255,     287,     319,     351,       2,      33,      60,      89,     117,     147,     176,     207,     239,     271,     304,     335,      32,      59,      88,     116,     146,     175,     206,     238,     270,     303,     334,     366,  80.500, 173.000,  365,  88.11515855,  96.40592773,  94.27808986,  86.20082386
 -133000,  -131050,      31,      27,      29,      28,      29,      29,      31,      32,      32,      33,      32,      32,      17,      46,      74,     103,     131,     160,     190,     222,     254,     286,     319,     351,       2,      33,      60,      89,     117,     146,     175,     206,     238,     270,     303,     335,      32,      59,      88,     116,     145,     174,     205,     237,     269,     302,     334,     366,  80.500, 173.000,  365,  86.86112950,  95.39337626,  95.65241034,  87.09308390
 -132000,  -130050,      32,      27,      29,      28,      28,      28,      30,      32,      32,      34,      32,      33,      17,      46,      74,     103,     131,     159,     188,     219,     251,     284,     317,     349,       1,      33,      60,      89,     117,     145,     173,     203,     235,     267,     301,     333,      32,      59,      88,     116,     144,     172,     202,     234,     266,     300,     332,     365,  80.500, 173.000,  365,  85.89905541,  94.04089594,  96.73772497,  88.32232369
 -131000,  -129050,      32,      28,      29,      28,      28,      28,      30,      31,      31,      34,      33,      33,      16,      46,      74,     103,     131,     159,     188,     218,     249,     282,     315,     348,       0,      32,      60,      89,     117,     145,     173,     203,     234,     265,     299,     332,      31,      59,      88,     116,     144,     172,     202,     233,     264,     298,     331,     364,  80.500, 173.000,  365,  85.29858532,  92.45503172,  97.42755948,  89.81882347
 -130000,  -128050,      33,      28,      30,      28,      28,      27,      29,      31,      31,      33,      33,      34,      15,      46,      75,     104,     132,     159,     187,     217,     248,     280,     313,     347,      -1,      32,      60,      90,     118,     146,     173,     202,     233,     264,     297,     330,      31,      59,      89,     117,     145,     172,     201,     232,     263,     296,     329,     363,  80.500, 173.000,  365,  85.10733077,  90.76021928,  97.64545708,  91.48699287
 -129000,  -127050,      34,      29,      30,      28,      28,      27,      29,      30,      30,      33,      33,      34,      14,      45,      75,     104,     132,     159,     187,     217,     247,     278,     311,     345,      -3,      31,      60,      90,     118,     146,     173,     202,     232,     262,     295,     328,      30,      59,      89,     117,     145,     172,     201,     231,     261,     294,     327,     361,  80.500, 173.000,  365,  85.34936400,  89.08668766,  97.35581354,  93.20813480
 -128000,  -126050,      34,      30,      31,      28,      28,      27,      28,      29,      30,      33,      33,      34,      13,      45,      75,     105,     133,     160,     188,     216,     246,     277,     310,     344,      -4,      30,      60,      91,     119,     147,     174,     202,     231,     261,     294,     327,      29,      59,      90,     118,     146,     173,     201,     230,     260,     293,     326,     360,  80.500, 173.000,  365,  86.02373201,  87.55955242,  96.57004430,  94.84667127
 -127000,  -125050,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.500, 173.000,  365,  87.10262316,  86.29027964,  95.34665070,  96.26044651
 -126000,  -124050,      34,      31,      32,      30,      29,      27,      28,      28,      29,      31,      32,      34,      10,      42,      74,     105,     134,     162,     190,     218,     246,     276,     308,     341,      -7,      27,      58,      90,     120,     149,     176,     204,     232,     261,     292,     324,      26,      57,      89,     119,     148,     175,     203,     231,     260,     291,     323,     357,  80.500, 173.000,  365,  88.52935776,  85.37082643,  93.78504287,  97.31477294
 -125000,  -123050,      34,      31,      33,      30,      30,      27,      28,      28,      28,      31,      31,      34,      10,      42,      74,     106,     136,     164,     192,     220,     248,     277,     308,     341,      -7,      27,      58,      91,     121,     151,     178,     206,     234,     262,     293,     324,      26,      57,      90,     120,     150,     177,     205,     233,     261,     292,     323,     357,  80.500, 173.000,  365,  90.21699276,  84.87000384,  92.01435146,  97.89865193
 -124000,  -122050,      34,      31,      33,      31,      30,      28,      28,      28,      28,      30,      31,      33,       9,      41,      73,     105,     136,     165,     193,     221,     249,     278,     308,     340,      -8,      26,      57,      90,     121,     151,     179,     207,     235,     263,     293,     324,      25,      56,      89,     120,     150,     178,     206,     234,     262,     292,     323,     356,  80.500, 173.000,  365,  92.04889922,  84.83116061,  90.17947082,  97.94046935
 -123000,  -121050,      34,      31,      34,      31,      31,      28,      28,      28,      27,      30,      30,      33,      10,      42,      75,     107,     138,     168,     196,     224,     251,     280,     310,     341,      -7,      27,      58,      92,     123,     154,     182,     210,     238,     265,     295,     325,      26,      57,      91,     122,     153,     181,     209,     237,     264,     294,     324,     357,  80.500, 173.000,  365,  93.88297376,  85.27022225,  88.42689453,  97.41990947
 -122000,  -120050,      33,      31,      34,      32,      32,      29,      29,      28,      27,      29,      29,      32,      10,      42,      75,     108,     140,     170,     199,     228,     255,     283,     312,     343,      -6,      27,      58,      92,     124,     156,     185,     214,     242,     269,     298,     327,      26,      57,      91,     123,     155,     184,     213,     241,     268,     297,     326,     358,  80.500, 173.000,  365,  95.56091410,  86.17341619,  86.89246929,  96.37320042
 -121000,  -119050,      33,      30,      34,      32,      32,      30,      29,      29,      27,      29,      29,      31,      11,      43,      75,     108,     140,     171,     200,     229,     257,     285,     314,     344,      -5,      28,      58,      92,     124,     156,     186,     215,     244,     271,     300,     329,      27,      57,      91,     123,     155,     185,     214,     243,     270,     299,     328,     359,  80.500, 173.000,  365,  96.92302471,  87.49460310,  85.69223001,  94.89014219
 -120000,  -118050,      32,      30,      33,      32,      33,      30,      30,      29,      28,      29,      28,      31,      12,      43,      74,     107,     139,     171,     201,     230,     259,     287,     316,     345,      -4,      28,      58,      91,     123,     156,     186,     216,     245,     273,     302,     330,      27,      57,      90,     122,     155,     185,     215,     244,     272,     301,     329,     360,  80.500, 173.000,  365,  97.82737533,  89.15291937,  84.91638666,  93.10331864
 -119000,  -117050,      31,      29,      33,      32,      33,      31,      31,      30,      28,      29,      28,      30,      13,      43,      74,     107,     139,     171,     202,     233,     262,     290,     319,     348,      -2,      29,      58,      91,     123,     156,     187,     218,     248,     276,     305,     333,      28,      57,      90,     122,     155,     186,     217,     247,     275,     304,     332,     362,  80.500, 173.000,  365,  98.17025834,  91.03224834,  84.62569239,  91.17180093
 -118000,  -116050,      31,      28,      32,      32,      33,      31,      32,      30,      29,      29,      28,      30,      15,      45,      75,     107,     139,     171,     203,     234,     263,     292,     321,     350,       0,      31,      59,      91,     123,     156,     187,     219,     249,     278,     307,     335,      30,      58,      90,     122,     155,     186,     218,     248,     277,     306,     334,     364,  80.500, 173.000,  365,  97.90354114,  92.98459090,  84.84906107,  89.26280689
 -117000,  -115050,      30,      28,      32,      31,      33,      32,      32,      31,      29,      30,      28,      29,      15,      44,      74,     105,     137,     170,     202,     233,     263,     293,     322,     350,       0,      30,      58,      90,     121,     154,     186,     218,     249,     278,     308,     336,      29,      57,      89,     120,     153,     185,     217,     248,     277,     307,     335,     364,  80.500, 173.000,  365,  97.04444634,  94.83930722,  85.58146723,  87.53477920
 -116000,  -114050,      30,      27,      31,      31,      32,      32,      32,      32,      30,      30,      29,      29,      17,      45,      74,     105,     137,     169,     201,     233,     264,     294,     323,     352,       2,      32,      59,      90,     121,     153,     185,     217,     249,     279,     309,     338,      31,      58,      89,     120,     152,     184,     216,     248,     278,     308,     337,     366,  80.500, 173.000,  365,  95.67483468,  96.41911416,  86.78177048,  86.12428068
 -115000,  -113050,      29,      27,      30,      30,      32,      31,      33,      32,      31,      31,      29,      30,      17,      45,      74,     104,     135,     166,     198,     231,     262,     293,     323,     353,       3,      32,      59,      89,     119,     151,     182,     215,     247,     278,     309,     338,      31,      58,      88,     118,     150,     181,     214,     246,     277,     308,     337,     367,  80.500, 173.000,  365,  93.92982255,  97.56166162,  88.37099295,  85.13752288
 -114000,  -112050,      30,      26,      30,      29,      31,      31,      32,      33,      31,      32,      30,      30,      18,      46,      74,     103,     133,     164,     196,     228,     260,     292,     323,     353,       3,      33,      59,      89,     118,     149,     180,     212,     245,     276,     308,     338,      32,      58,      88,     117,     148,     179,     211,     244,     275,     307,     337,     367,  80.500, 173.000,  365,  91.97850870,  98.14307230,  90.23249706,  84.64592194
 -113000,  -111050,      30,      26,      29,      29,      30,      30,      32,      33,      32,      32,      31,      31,      19,      47,      74,     103,     133,     163,     194,     226,     259,     291,     322,     353,       4,      34,      60,      89,     118,     148,     178,     210,     243,     275,     307,     338,      33,      59,      88,     117,     147,     177,     209,     242,     274,     306,     337,     368,  80.500, 173.000,  365,  90.00151670,  98.09809051,  92.21610190,  84.68429088
 -112000,  -110050,      30,      26,      29,      28,      30,      30,      32,      33,      32,      33,      31,      31,      18,      46,      73,     102,     131,     161,     192,     224,     257,     289,     321,     352,       3,      33,      59,      88,     116,     146,     176,     208,     241,     273,     306,     337,      32,      58,      87,     115,     145,     175,     207,     240,     272,     305,     336,     367,  80.500, 173.000,  365,  88.17023805,  97.43148352,  94.14801813,  85.25026029
 -111000,  -109050,      31,      27,      29,      28,      29,      29,      31,      32,      32,      33,      32,      32,      17,      46,      74,     103,     131,     160,     190,     222,     254,     286,     319,     351,       2,      33,      60,      89,     117,     146,     175,     206,     238,     270,     303,     335,      32,      59,      88,     116,     145,     174,     205,     237,     269,     302,     334,     366,  80.500, 173.000,  365,  86.63120381,  96.21740254,  95.84727823,  86.30411543
 -110000,  -108050,      31,      27,      29,      28,      28,      28,      30,      32,      32,      34,      33,      33,      16,      45,      73,     102,     130,     158,     187,     218,     250,     283,     316,     349,       1,      32,      59,      88,     116,     144,     172,     202,     234,     266,     300,     333,      31,      58,      87,     115,     143,     171,     201,     233,     265,     299,     332,     365,  80.500, 173.000,  365,  85.49677434,  94.58684918,  97.14722282,  87.76915366
 -109000,  -107050,      32,      28,      29,      27,      28,      28,      30,      31,      32,      34,      33,      33,      16,      46,      74,     102,     130,     158,     187,     217,     249,     282,     315,     348,       0,      32,      60,      89,     116,     144,     172,     202,     233,     265,     299,     332,      31,      59,      88,     115,     143,     171,     201,     232,     264,     298,     331,     364,  80.500, 173.000,  365,  84.84135157,  92.70678394,  97.91830159,  89.53356290
 -108000,  -106050,      33,      28,      30,      28,      28,      27,      29,      30,      31,      34,      33,      34,      15,      46,      75,     104,     132,     159,     187,     217,     247,     280,     313,     347,      -1,      32,      60,      90,     118,     146,     173,     202,     232,     263,     297,     330,      31,      59,      89,     117,     145,     172,     201,     231,     262,     296,     329,     363,  80.500, 173.000,  365,  84.70124581,  90.75635006,  98.08705180,  91.45535232
 -107000,  -105050,      34,      29,      30,      28,      28,      27,      28,      30,      31,      33,      33,      34,      14,      45,      75,     104,     132,     159,     187,     216,     246,     278,     311,     345,      -3,      31,      60,      90,     118,     146,     173,     201,     231,     262,     295,     328,      30,      59,      89,     117,     145,     172,     200,     230,     261,     294,     327,     361,  80.500, 173.000,  365,  85.07626218,  88.90552562,  97.64648815,  93.37172406
 -106000,  -104050,      34,      30,      31,      28,      28,      27,      28,      29,      30,      32,      33,      35,      13,      45,      75,     105,     133,     160,     188,     216,     246,     277,     309,     343,      -4,      30,      60,      91,     119,     147,     174,     202,     231,     261,     293,     326,      29,      59,      90,     118,     146,     173,     201,     230,     260,     292,     325,     360,  80.500, 173.000,  365,  85.93170995,  87.29965213,  96.65532044,  95.11331748
 -105000,  -103050,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.500, 173.000,  365,  87.20046657,  86.05080254,  95.22655704,  96.52217386
 -104000,  -102050,      35,      31,      32,      30,      29,      27,      28,      28,      28,      31,      32,      34,      10,      43,      75,     106,     135,     163,     191,     219,     247,     276,     308,     341,      -7,      28,      59,      91,     121,     150,     177,     205,     233,     261,     292,     324,      27,      58,      90,     120,     149,     176,     204,     232,     260,     291,     323,     357,  80.500, 173.000,  365,  88.78559253,  85.23492688,  93.50885485,  97.47062574
 -103000,  -101050,      34,      31,      33,      30,      30,      27,      28,      28,      28,      31,      31,      34,      10,      42,      74,     106,     136,     164,     192,     220,     248,     277,     308,     341,      -7,      27,      58,      91,     121,     151,     178,     206,     234,     262,     293,     324,      26,      57,      90,     120,     150,     177,     205,     233,     261,     292,     323,     357,  80.500, 173.000,  365,  90.56454078,  84.89271365,  91.66539230,  97.87735327
 -102000,  -100050,      34,      31,      33,      31,      30,      28,      28,      28,      28,      30,      31,      33,      10,      42,      74,     106,     137,     166,     194,     222,     250,     279,     309,     341,      -7,      27,      58,      91,     122,     152,     180,     208,     236,     264,     294,     325,      26,      57,      90,     121,     151,     179,     207,     235,     263,     293,     324,     357,  80.500, 173.000,  365,  92.39606597,  85.03209795,  89.85474074,  97.71709534
 -101000,   -99050,      34,      31,      34,      31,      31,      29,      28,      28,      28,      29,      30,      32,      10,      42,      75,     107,     138,     168,     197,     225,     253,     281,     311,     342,      -7,      27,      58,      92,     123,     154,     183,     211,     239,     267,     296,     326,      26,      57,      91,     122,     153,     182,     210,     238,     266,     295,     325,     357,  80.500, 173.000,  365,  94.13044742,  85.63096948,  88.21663045,  97.02195265
 -100000,   -98050,      33,      31,      34,      32,      32,      29,      29,      28,      27,      29,      29,      32,      10,      42,      75,     108,     140,     170,     199,     228,     255,     283,     312,     343,      -6,      27,      58,      92,     124,     156,     185,     214,     242,     269,     298,     327,      26,      57,      91,     123,     155,     184,     213,     241,     268,     297,     326,     358,  80.500, 173.000,  365,  95.62268657,  86.63948156,  86.86350393,  95.87432794
  -99000,   -97050,      32,      30,      34,      32,      32,      30,      29,      29,      28,      29,      29,      31,      11,      42,      74,     107,     139,     170,     199,     228,     257,     285,     314,     344,      -5,      27,      57,      91,     123,     155,     185,     214,     243,     271,     300,     329,      26,      56,      90,     122,     154,     184,     213,     242,     270,     299,     328,     359,  80.500, 173.000,  365,  96.74721020,  87.98215109,  85.87711031,  94.39352840
  -98000,   -96050,      32,      30,      33,      32,      32,      30,      30,      29,      28,      29,      29,      31,      13,      44,      75,     108,     140,     171,     201,     230,     259,     287,     316,     346,      -3,      29,      59,      92,     124,     156,     186,     216,     245,     273,     302,     331,      28,      58,      91,     123,     155,     185,     215,     244,     272,     301,     330,     361,  80.500, 173.000,  365,  97.41172527,  89.56050311,  85.30852539,  92.71924623
  -97000,   -95050,      31,      29,      33,      32,      33,      31,      31,      30,      28,      29,      28,      30,      13,      43,      74,     107,     139,     171,     202,     233,     262,     290,     319,     348,      -2,      29,      58,      91,     123,     156,     187,     218,     248,     276,     305,     333,      28,      57,      90,     122,     155,     186,     217,     247,     275,     304,     332,     362,  80.500, 173.000,  365,  97.56761146,  91.25725575,  85.17987148,  90.99526131
  -96000,   -94050,      31,      28,      32,      32,      33,      31,      31,      30,      29,      29,      29,      30,      15,      45,      75,     107,     139,     171,     202,     233,     262,     291,     320,     350,       0,      31,      59,      91,     123,     156,     187,     218,     248,     277,     306,     335,      30,      58,      90,     122,     155,     186,     217,     247,     276,     305,     334,     364,  80.500, 173.000,  365,  97.21476605,  92.94289964,  85.48641249,  89.35592182
  -95000,   -93050,      30,      28,      32,      31,      32,      31,      32,      31,      29,      30,      29,      30,      15,      44,      74,     105,     137,     168,     200,     231,     261,     291,     320,     350,       0,      30,      58,      90,     121,     153,     184,     216,     247,     276,     306,     335,      29,      57,      89,     120,     152,     183,     215,     246,     275,     305,     334,     364,  80.500, 173.000,  365,  96.39998474,  94.48499570,  86.19832571,  87.91669385
  -94000,   -92050,      30,      27,      31,      31,      32,      31,      32,      32,      30,      30,      29,      30,      16,      44,      73,     104,     136,     167,     199,     231,     262,     292,     321,     351,       1,      31,      58,      89,     120,     152,     183,     215,     247,     277,     307,     336,      30,      57,      88,     119,     151,     182,     214,     246,     276,     306,     335,     365,  80.500, 173.000,  365,  95.20938720,  95.75969661,  87.26209256,  86.76882363
  -93000,   -91050,      30,      27,      30,      30,      32,      31,      32,      32,      31,      31,      29,      30,      17,      45,      74,     104,     135,     166,     198,     230,     261,     292,     322,     352,       2,      32,      59,      89,     119,     151,     182,     214,     246,     277,     308,     337,      31,      58,      88,     118,     150,     181,     213,     245,     276,     307,     336,     366,  80.500, 173.000,  365,  93.75661885,  96.66411908,  88.60197866,  85.97728341
  -92000,   -90050,      30,      27,      30,      29,      31,      31,      32,      32,      31,      32,      30,      30,      18,      46,      75,     104,     134,     165,     197,     229,     260,     292,     323,     353,       3,      33,      60,      90,     119,     150,     181,     213,     245,     276,     308,     338,      32,      59,      89,     118,     149,     180,     212,     244,     275,     307,     337,     367,  80.500, 173.000,  365,  92.16922618,  97.12756477,  90.12241045,  85.58079860
  -91000,   -89050,      30,      27,      30,      29,      30,      30,      32,      32,      31,      32,      31,      31,      18,      46,      75,     104,     134,     164,     195,     227,     258,     290,     321,     352,       3,      33,      60,      90,     119,     149,     179,     211,     243,     274,     306,     337,      32,      59,      89,     118,     148,     178,     210,     242,     273,     305,     336,     367,  80.500, 173.000,  365,  90.57557752,  97.11947337,  91.71213129,  85.59281782
