   AgeBP,   YearCE, JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , DecEnd      , VE_day    , ndays
 -150000,  -148050,  33.62326306,  29.74548722,  31.74534768,  29.37664217,  29.16928517,  27.55669481,  28.43846385,  29.07670946,  29.24986334,  31.60902533,  31.79976584,  33.60945209,  11.92594657,  43.61032171,  74.35573916, 104.91673408, 134.18969775, 162.55268774, 190.55026707, 219.30785372, 248.47114011, 278.90058444, 310.60498003, 343.30958899,  -4.88568496,  28.73757810,  58.48306532,  90.22841300, 119.60505517, 148.77434033, 176.33103514, 204.76949899, 233.84620844, 263.09607178, 294.70509711, 326.50486295,  28.73757810,  58.48306532,  90.22841300, 119.60505517, 148.77434033, 176.33103514, 204.76949899, 233.84620844, 263.09607178, 294.70509711, 326.50486295, 360.11431504,  80.500000,  365
 -149000,  -147050,  33.71561886,  30.00905183,  32.15671515,  29.78664670,  29.49274167,  27.69375619,  28.36296826,  28.79979819,  28.85739108,  31.18139765,  31.47743977,  33.46647463,  11.33090080,  43.19323615,  74.27611965, 105.24780058, 134.88749476, 163.48074369, 191.50910591, 220.09048914, 248.91908378, 278.93847814, 310.26789686, 342.73985406,  -5.52690863,  28.18871024,  58.19776207,  90.35447722, 120.14112393, 149.63386560, 177.32762178, 205.69059004, 234.49038823, 263.34777932, 294.52917697, 326.00661674,  28.18871024,  58.19776207,  90.35447722, 120.14112393, 149.63386560, 177.32762178, 205.69059004, 234.49038823, 263.34777932, 294.52917697, 326.00661674, 359.47309137,  80.500000,  365
 -148000,  -146050,  33.69444104,  30.19296923,  32.52800539,  30.21486031,  29.88755524,  27.93203364,  28.39803661,  28.61037328,  28.50481629,  30.73652875,  31.08505102,  33.21532920,  10.90006458,  42.84376971,  74.20425702, 105.57568987, 135.62689765, 164.53669209, 192.70172722, 221.20593216, 249.76352694, 279.38419947, 310.29498935, 342.44517946,  -5.94715594,  27.74728510,  57.94025433,  90.46825972, 120.68312003, 150.57067527, 178.50270891, 206.90074552, 235.51111880, 264.01593509, 294.75246384, 325.83751486,  27.74728510,  57.94025433,  90.46825972, 120.68312003, 150.57067527, 178.50270891, 206.90074552, 235.51111880, 264.01593509, 294.75246384, 325.83751486, 359.05284406,  80.500000,  365
 -147000,  -145050,  33.55371811,  30.27899296,  32.83036356,  30.63226414,  30.33057818,  28.26140169,  28.54850365,  28.52758814,  28.21966100,  30.30467697,  30.64566172,  32.86658987,  10.67470229,  42.59105782,  74.14573608, 105.87704994, 136.35847110, 165.65446104, 194.05941371, 222.59745961, 250.97108418, 280.23325316, 310.70842251, 342.46454830,  -6.10215677,  27.45156134,  57.73055430,  90.56091787, 121.19318201, 151.52376019, 179.78516188, 208.33366554, 236.86125367, 265.08091468, 295.38559165, 326.03125337,  27.45156134,  57.73055430,  90.56091787, 121.19318201, 151.52376019, 179.78516188, 208.33366554, 236.86125367, 265.08091468, 295.38559165, 326.03125337, 358.89784323,  80.500000,  365
 -146000,  -144050,  33.29597109,  30.25467687,  33.03759333,  31.00807441,  30.79294404,  28.66392333,  28.81088138,  28.56421329,  28.02678476,  29.91780857,  30.18795345,  32.43917548,  10.68416802,  42.45949200,  74.10562710, 106.12846097, 137.02897019, 166.75740388, 195.49480623, 224.18235357, 252.47785259, 281.45014926, 311.50303027, 342.81659474,  -5.96381752,  27.33215356,  57.58683044,  90.62442376, 121.63249817, 152.42544221, 181.08936554, 209.90024692, 238.46446021, 266.49124498, 296.40905355, 326.59700700,  27.33215356,  57.58683044,  90.62442376, 121.63249817, 152.42544221, 181.08936554, 209.90024692, 238.46446021, 266.49124498, 296.40905355, 326.59700700, 359.03618248,  80.500000,  365
 -145000,  -143050,  32.93302947,  30.11509963,  33.12867949,  31.31214009,  31.24184481,  29.11446079,  29.17268903,  28.72481683,  27.94597454,  29.60709345,  29.74445413,  31.95971773,  10.94204341,  42.46610796,  74.08799752, 106.30840731, 137.58539976, 167.76355256, 196.90712747, 225.85588040, 254.19127609, 282.96781008, 312.64358388, 343.49566981,  -5.52447133,  27.40855815,  57.52365777,  90.65233726, 121.96447736, 153.20632216, 182.32078296, 211.49347199, 240.21828882, 268.16426336, 297.77135681, 327.51581094,  27.40855815,  57.52365777,  90.65233726, 121.96447736, 153.20632216, 182.32078296, 211.49347199, 240.21828882, 268.16426336, 297.77135681, 327.51581094, 359.47552867,  80.500000,  365
 -144000,  -142050,  32.48581772,  29.86399524,  33.09015239,  31.51771354,  31.64312256,  29.58227910,  29.61275412,  29.00460374,  27.98970077,  29.40002791,  29.34896292,  31.46086998,  11.44347407,  42.61838056,  74.09545438, 106.39938734, 137.97980539, 168.59250622, 198.19002283, 227.49870176, 255.99585402, 284.69071836, 314.06521377, 344.47013022,  -4.79943479,  27.68638294,  57.55037818,  90.64053057, 122.15824411, 153.80136667, 183.38364577, 212.99639989, 242.00100364, 269.99070441, 299.39073231, 328.73969523,  27.68638294,  57.55037818,  90.64053057, 122.15824411, 153.80136667, 183.38364577, 212.99639989, 242.00100364, 269.99070441, 299.39073231, 328.73969523, 360.20056521,  80.500000,  365
 -143000,  -141050,  31.98338804,  29.51418107,  32.91785482,  31.60397031,  31.96400094,  30.03312960,  30.10223473,  29.38901594,  28.16145322,  29.31782935,  29.03384186,  30.97910012,  12.16399979,  42.91278435,  74.12880229, 106.38971486, 138.17370048, 169.17226575, 199.23994792, 228.98557325, 257.76080783, 286.50044912, 315.67628472, 345.68275571,  -3.82769423,  28.15569381,  57.66987488,  90.58772970, 122.19170001, 154.15570095, 184.18883055, 214.29106528, 243.68008122, 271.84153444, 301.15936379, 330.19320565,  28.15569381,  57.66987488,  90.58772970, 122.19170001, 154.15570095, 184.18883055, 214.29106528, 243.68008122, 271.84153444, 301.15936379, 330.19320565, 361.17230577,  80.500000,  365
 -142000,  -140050,  31.46101433,  29.08714062,  32.61802235,  31.55828117,  32.17604893,  30.43196476,  30.60654256,  29.85424874,  28.45474449,  29.37310261,  28.82708399,  30.55180548,  13.06017543,  43.33425290,  74.18683438, 106.27498614, 138.14215119, 169.44615803, 199.96541169, 230.19580734, 259.35030395, 288.26422750, 317.36432079, 347.05376552,  -2.67033174,  28.79068259,  57.87782321,  90.49584556, 122.05412672, 154.23017565, 184.66214041, 215.26868297, 245.12293171, 273.57767619, 302.95077880, 331.77786279,  28.79068259,  57.87782321,  90.49584556, 122.05412672, 154.23017565, 184.66214041, 215.26868297, 245.12293171, 273.57767619, 302.95077880, 331.77786279, 362.32966826,  80.500000,  365
 -141000,  -139050,  30.95750927,  28.61169015,  32.20738173,  31.37781496,  32.25792014,  30.74593548,  31.08799553,  30.36875031,  28.85305905,  29.56821346,  28.74961063,  30.21411927,  14.07217756,  43.85677727,  74.26631321, 106.05891156, 137.87677911, 169.37870692, 200.29567243, 231.02404535, 260.63495003, 289.84558629, 319.00449834, 348.48636329,  -1.40657708,  29.55093219,  58.16262235,  90.37000408, 121.74781904, 154.00573918, 184.75167466, 215.83967020, 246.20842051, 275.06147956, 304.62969302, 333.37930365,  29.55093219,  58.16262235,  90.37000408, 121.74781904, 154.00573918, 184.75167466, 215.83967020, 246.20842051, 275.06147956, 304.62969302, 333.37930365, 363.59342292,  80.500000,  365
