   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day , SS_day , ndays,  VEtoSS    ,   SStoAE    ,   AEtoWS    ,   WStoVE
   -7949,     1001,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.055, 173.497,  365,  91.95871709,  88.22756451,  90.48471365,  94.32900474
   -7948,     1002,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.297, 173.738,  365,  91.95959772,  88.22779796,  90.48385087,  94.32875345
   -7947,     1003,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.540, 173.980,  365,  91.96047828,  88.22803165,  90.48298818,  94.32850189
   -7946,     1004,      33,      31,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      76,     107,     137,     166,     195,     224,     253,     283,     314,     346,      -4,      29,      60,      92,     122,     152,     181,     210,     239,     268,     299,     330,      28,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,     361,  80.783, 174.222,  366,  92.21330769,  88.46998687,  90.73002180,  94.58668363
   -7945,     1005,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.025, 173.464,  365,  91.96223919,  88.22849978,  90.48126305,  94.32799799
   -7944,     1006,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.267, 173.706,  365,  91.96311954,  88.22873421,  90.48040061,  94.32774564
   -7943,     1007,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.510, 173.948,  365,  91.96399983,  88.22896889,  90.47953826,  94.32749303
   -7942,     1008,      33,      31,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      76,     107,     137,     166,     195,     224,     253,     283,     314,     346,      -4,      29,      60,      92,     122,     152,     181,     210,     239,     268,     299,     330,      28,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,     361,  80.753, 174.190,  366,  92.21683862,  88.47092765,  90.72656278,  94.58567095
   -7941,     1009,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  79.995, 173.431,  365,  91.96576020,  88.22943898,  90.47781382,  94.32698701
   -7940,     1010,      33,      30,      32,      30,      30,      29,      29,      29,      29,      31,      31,      32,      12,      44,      75,     106,     136,     165,     194,     223,     252,     282,     313,     345,      -4,      29,      59,      91,     121,     151,     180,     209,     238,     267,     298,     329,      28,      58,      90,     120,     150,     179,     208,     237,     266,     297,     328,     360,  80.237, 173.674,  365,  91.96664028,  88.22967439,  90.47695172,  94.32673361
